Feature.ID	B1_RPKM_fwd_RNA.Seq	B2_RPKM_fwd_RNA.Seq	B3_RPKM_fwd_RNA.Seq	B4_RPKM_fwd_RNA.Seq	B5_RPKM_fwd_RNA.Seq	B6_RPKM_fwd_RNA.Seq	B7_RPKM_fwd_RNA.Seq	B8_RPKM_fwd_RNA.Seq	B9_RPKM_fwd_RNA.Seq	B10_RPKM_fwd_RNA.Seq
ABCB1	0.558	1.887	0.408	0.124	0.386	1.038	0.897	0.526	0.689	0.867
ABCB10	4.028	6.792	4.959	3.532	3.426	1.45	1.829	2.784	1.539	6.561
ABCB11	0.008473	0	0.322	0	0	0.915	0.339	0.192	1.196	0.296
ABCB4	0.101	0.361	0.868	0.098	0.2	1.271	0.603	0.406	1.151	0.687
ABCB5	0.005235	0.00811	0.274	0.013	0.022	0.837	0.243	0.182	0.623	0.169
ABCB6	3.914	3.572	1.306	0.777	0.566	1.506	2.545	0.644	1.336	3.177
ABCB7	8.203	10.502	6.16	4.194	7.993	1.904	4.968	4.249	2.018	6.284
ABCB8	0.285	0.468	0.123	0.334	0.316	0.261	0.201	0.495	0.287	0.513
ABCB9	0.103	0.192	0.59	0.2	0.233	0.134	0.267	0.276	0.172	0.603
ABCC1	2.441	4.936	3.28	3.809	5.623	1.278	1.425	2.055	1.638	3.831
ABCC10	1.525	1.124	0.967	0.921	0.844	0.704	1.052	1.432	0.779	2.388
ABCC11	0.157	0.166	0.431	0.07	0.046	0.926	0.266	0.187	0.822	0.165
ABCC12	0.023	0	0.205	0.009449	0.011	1.116	0.273	0.157	0.867	0.161
ABCC2	0.088	0.05	0.514	0.097	0.011	1.28	0.476	0.171	1.175	0.289
ABCC3	4.628	16.812	0.328	6.689	1.664	1.658	8.087	4.412	1.381	2.258
ABCC4	35.896	16.65	4.381	17.535	11.46	3.075	23.405	0.57	4.837	15.278
ABCC5	18.436	5.085	6.342	9.3	3.105	2.326	8.655	2.414	2.68	2.982
ABCC6	0.022	0.011	0.138	0	0.02	0.533	0.159	0.039	0.381	0.08
ABCC8	0	0.025	0.251	0	0	0.913	0.189	0.033	0.337	0.041
ABCC9	0.206	0.518	0.42	0.346	0.478	1.095	0.605	0.357	0.807	0.589
ABCD1	0.64	0.941	0.787	0.253	0.513	0.382	0.428	0.53	0.245	1.52
ABCD2	0.023	0.258	0.234	0.064	0.117	1.014	0.45	0.263	0.713	0.206
ABCD3	22.962	121.067	26.249	19.612	59.041	9.574	12.41	53.839	8.79	29.539
ABCD4	5.485	4.149	3.775	5.042	2.255	1.716	3.558	3.179	1.809	3.805
ABCE1	16.332	39.823	17.141	16.917	20.615	5.792	9.753	7.95	5.261	40.845
ABCF1	10.839	16.355	10.127	11.01	9.356	3.885	5.64	8.566	3.977	8.129
ABCF2	7.905	11.195	3.65	5.282	6.982	2.701	4.009	4.861	3.256	10.08
ABCF3	7.142	12.671	7.324	4.5	4.872	2.378	4.245	3.755	2.569	10.895
ABCG1	13.31	10.309	5.092	4.402	3.713	4.266	6.42	1.691	2.703	23.283
ABCG2	1.343	4.661	0.424	0.144	0.754	0.808	0.735	1.439	0.8	1.406
ABCG4	0.031	0.08	0.049	0.012	0.014	0.222	0.053	0.055	0.199	0.04
ABCG5	0	0	0.105	0	0.062	0.446	0.191	0.02	0.327	0.09
ABCG8	0.015	0	0.144	0	0	0.459	0.137	0.02	0.336	0.093
ABHD1	0.056	0	0.133	0.068	0.079	0.846	0.108	0	0.852	0.109
ABHD10	7.789	19.437	8.179	4.137	10.103	1.917	4.742	3.836	2.796	11.134
ABHD11	3.055	9.891	3.4	3.853	1.899	0.951	2.95	2.276	1.219	5.056
ABHD12	27.654	48.556	7.534	14.238	19.088	4.422	5.547	11.189	6.504	11.949
ABHD12B	0.237	0.037	0.281	0.029	0.1	0.921	0.275	0.379	1.508	0.289
ABHD13	5.845	7.53	7.36	5.038	3.137	1.549	5.38	1.73	2.429	7.733
ABHD14A	2.191	4.864	2.255	1.278	2.056	0.631	1.132	0.974	0.91	3.04
ABHD14B	6.043	16.356	9.702	4.368	2.851	3.657	2.53	1.373	1.884	2.58
ABHD15	2.958	1.993	2.685	1.045	1.354	0.987	1.258	2.854	1.265	4.604
ABHD16A	3.865	5.128	3.448	2.952	1.974	1.761	2.485	1.87	1.219	3.421
ABHD16B	0	0.035	0.108	0	0.032	0	0.029	0.061	0.063	0.025
ABHD2	39.102	20.792	38.947	12.335	9.33	6.659	7.236	5.825	3.041	15.541
ABHD3	4.018	6.103	1.956	1.396	2.07	0.762	2.126	4.209	1.031	1.48
ABHD4	1.806	5.87	2.337	2.433	0.84	0.836	1.645	3.398	1.384	3.392
ABHD5	18.29	15.606	6.894	7.909	11.225	2.84	4.567	5.775	2.574	19.942
ABHD6	1.369	4.819	1.084	0.898	1.714	0.803	1.55	1.24	1.03	2.731
ABHD8	0.252	0.27	0.322	0.21	0.627	0.167	0.15	0.258	0.214	0.784
ABI1	20.175	30.456	21.355	11.82	15.325	4.814	11.469	9.859	5.636	19.309
ABI2	5.632	5.832	5.161	2.449	3.577	1.753	3.813	2.556	1.849	6.016
ABI3	0.153	0.951	0.091	0.093	0.162	0.829	0.297	0.358	0.159	0.234
ABI3BP	0.118	0.476	0.322	0.098	0.255	1.719	0.304	1.435	1.227	0.723
ABL1	2.992	3.016	1.515	2.195	1.949	0.821	1.621	2.606	0.864	2.527
ABL2	1.746	2.854	2.591	2.065	1.644	0.898	1.545	3.796	0.859	1.646
ABLIM1	22.317	17.315	26.125	9.527	4.973	3.115	8.003	0.897	3.669	15.342
ABLIM2	0.025	0.039	0.119	0.01	0.047	0.47	0.249	0.045	0.417	0.079
ABLIM3	5.749	12.896	0.909	3.931	1.156	2.741	0.735	0.137	3.359	7.692
ABO	2.075	0.953	0	2.319	0	0.443	1.158	0.273	0.071	0.1
ABP1	0.033	1.962	0.079	0	0	0.144	0.172	0.044	0.277	0.092
ABR	7.509	7.972	6.894	2.497	3.691	1.405	5.402	2.95	2.125	8.721
ABRA	0	0.023	0.174	0	0.021	0.635	0.171	0.02	0.244	0.049
ABRACL	45.342	60.891	27.98	24.965	42.464	4.964	24.544	39.267	16.701	54.927
ABT1	4.253	6.394	4.5	2.588	3.447	1.544	2.954	1.811	2.177	4.027
ABTB1	1.341	0.465	0.428	0.99	0.282	0.259	0.568	0.507	0.332	0.389
ABTB2	0.05	0.511	0.314	0.309	0.128	0.535	0.511	0.715	0.411	0.321
ACAA1	13.078	18.536	11.413	12.993	6.262	3.555	6.519	6.881	4.556	9.727
ACAA2	6.966	5.93	0.497	0.53	4.476	0.271	4.025	5.886	2.201	6.304
ACACA	4.487	8.387	7.753	5.265	5.731	2.181	3.493	8.183	3.267	11.393
ACACB	1.321	0.176	1.299	0.385	0.08	0.435	1.13	0.758	0.654	0.59
ACAD10	2.226	2.625	1.662	2.521	1.831	1.532	1.87	1.905	1.418	2.367
ACAD11	3.516	4.265	6	2.952	4.212	0.786	2.953	1.502	1.669	3.277
ACAD8	3.469	4.891	4.317	2.725	3.127	0.634	2.299	2.301	1.88	3.973
ACAD9	9.081	20.615	8.473	7.358	11.458	2.172	5.802	7.522	3.132	11.188
ACADL	0.211	0.327	0.347	0.039	0	0.982	0.44	0.455	0.674	0.234
ACADM	20.948	45.32	24.772	7.936	11.827	4.545	14.044	15.144	3.384	14.778
ACADS	1.161	1.929	0.602	0.713	0.624	0.182	0.518	0.844	0.584	2.097
ACADSB	7.614	8.566	6.293	6.485	3.653	2.442	2.656	2.098	2.997	7.158
ACADVL	34.13	64.537	32.393	42.55	18.473	5.55	29.014	20.968	13.339	52.628
ACAN	0.004577	0.106	0.109	0.226	0.09	0.356	0.118	0.165	0.304	0.069
ACAP1	0.145	0.35	0.192	0.078	0.136	0.279	0.167	0.151	0.313	0.081
ACAP2	9.948	29.072	11.648	7.321	9.024	2.291	5.006	10.7	2.937	11.067
ACAP3	0.936	1.35	1.611	2.858	2.864	0.651	1.821	3.028	0.685	2.061
ACAT1	5.999	11.549	4.54	2.878	7.566	0.981	2.566	5.526	2.724	4.758
ACAT2	9.834	21.496	7.87	8.091	8.189	2.704	4.513	11.931	2.961	11.973
ACBD3	17.92	46.287	30.491	16.259	10.385	4.216	12.177	6.553	5.058	31.348
ACBD4	0.851	0.546	0.976	0.762	0.434	0.634	0.758	0.372	0.61	0.75
ACBD5	12.542	39.002	8.019	8.951	12.248	3.779	7.231	13.314	4.027	22.586
ACBD6	12.668	16.599	14.155	9.458	11.067	1.514	7.985	18.73	3.465	8.379
ACBD7	0.192	0.8	0.371	0.058	1.42	0.83	0.326	1.457	0.465	0.82
ACCS	1.345	0.444	0.937	3.203	1.187	1.317	1.829	0.981	1.638	0.289
ACCSL	0.022	0	0.317	0	0	1.536	0.316	0.178	1.169	0.16
ACD	0.685	1.911	0.884	0.662	1.241	0.254	0.632	0.627	0.325	1.674
ACE	0.411	0.684	0.35	0.234	0.382	0.435	0.561	0.6	0.193	0.757
ACE2	0.208	0.071	0.466	0.501	0.065	0.648	0.194	0.477	0.639	0.557
ACER1	0	0	0.177	0	0	0.161	0.048	0	0	0.041
ACER2	45.707	186.782	4.785	142.795	80.761	6.005	25.864	51.115	20.342	244.117
ACER3	3.237	2.543	2.804	1.814	3.246	0.598	1.727	2.865	2.323	2.406
ACHE	0.055	0	0.163	0.231	0.019	0.059	0.035	0.055	0.114	0.023
ACIN1	18.971	17.763	14.05	17.847	11.825	3.499	9.902	12.565	6.793	25.322
ACLY	16.163	22.92	14.197	18.195	14.275	2.61	7.321	16.794	6.587	30.496
ACMSD	0.032	0	0.307	0	0.091	1.256	0.083	0.345	1.879	0.143
ACN9	1.829	6.398	2.616	1.139	2.215	0.68	1.371	1.521	1.143	2.107
ACO1	8.559	7.22	3.113	1.761	4.22	2.068	3.753	5.258	3.376	3.65
ACO2	10.598	20.006	16.164	12.31	4.343	3.379	9.225	4.98	4.495	15.606
ACOT1	0.808	1.759	0.839	0.122	0.249	0.109	0.358	0.202	0.349	0.686
ACOT11	4.295	4.787	0.68	1.613	1.36	2.268	2.557	2.434	2.873	4.046
ACOT12	0.061	0.032	0.29	0.025	0	1.23	0.184	0.109	1.295	0.169
ACOT13	4.483	6.146	3.346	2.744	4.108	2.108	2.556	2.566	1.427	2.606
ACOT2	2.251	7.046	1.351	1.812	0.736	0.688	1.586	0.819	0.881	1.022
ACOT4	0.992	3.187	0.412	0.898	0.489	0.535	0.32	0.562	0.412	0.399
ACOT6	0	0	0	0.097	0	0.522	0.156	0.376	0.446	0.067
ACOT7	0.61	3.358	0.443	0.94	2.909	0.293	0.853	2.665	0.985	1.466
ACOT8	3.075	4.496	1.806	2.085	4.378	0.298	1.918	2.857	0.956	3.509
ACOT9	7.661	8.056	5.287	1.668	6.134	0.506	4.719	7.904	2.335	2.041
ACOX1	27.044	39.28	15.181	25.427	49.686	6.797	10.626	8.706	8.697	47.117
ACOX2	0.035	0.38	0.083	0.021	0.025	0.833	0.181	0.14	0.388	0.194
ACOX3	4.758	9.311	2.341	6.304	4.618	0.973	2.199	1.051	1.559	16.962
ACOXL	22.982	13.944	2.876	27.101	29.738	1.768	17.26	25.26	4.106	10.797
ACP1	36.419	58.677	20.416	21.472	28.312	8.353	18.089	19.913	11.242	59.195
ACP2	2.397	3.036	2.12	1.267	1.897	0.907	1.762	1.68	1.356	1.758
ACP5	1.051	1.35	1.115	0.351	0.787	0.483	1.097	0.209	0.804	1.923
ACP6	8.772	37.506	9.037	9.696	9.514	1.74	9.391	4.387	2.973	4.757
ACPL2	3.332	17.554	3.112	3.178	10.331	1.978	1.971	5.885	2.57	11.986
ACPP	0.148	2.15	0.151	0.524	0.119	1.007	0.287	0.438	0.675	0.776
ACPT	0	0.047	0.143	0	0.042	0	0.078	0	0.166	0.017
ACR	0.03	0	0.07	0	0	0.255	0	0.079	0.245	0
ACRBP	0.257	0.199	0.357	0.155	0.604	0.649	0.138	0.286	0.119	0.179
ACRC	0.687	0.907	0.968	0.83	0.43	0.44	0.625	0.272	0.564	0.699
ACRV1	0	0	0.164	0.083	0	0.744	0.178	0.505	0.572	0.191
ACSBG1	0.326	0.105	0.452	1.655	0.172	0.645	0.298	0.29	0.827	3.255
ACSBG2	0	0.023	0.177	0.036	0.021	0.644	0.308	0.239	0.909	0.124
ACSF2	5.764	22.42	4.722	9.989	16.255	2.654	6.766	14.578	6.853	16.828
ACSF3	1.732	2.17	1.651	2.063	1.491	0.715	1.125	0.221	0.275	2.069
ACSL1	13.015	30.619	4.774	11.255	6.032	2.94	3.666	1.631	9.272	24.06
ACSL3	18.842	36.89	15.669	5.531	9.704	7.735	9.763	9.736	9.169	22.341
ACSL4	10.367	32.175	3.549	11.103	16.825	1.998	5.18	2.69	2.435	6.81
ACSL5	64.566	85.687	48.62	27.781	33.985	19.232	19.786	28.158	9.363	9.848
ACSL6	0.00585	0.063	0.139	0.021	0.016	0.606	0.279	0.101	0.47	0.097
ACSM1	0.316	0.581	0.187	0.024	0.111	1.278	0.509	0.263	0.765	0.58
ACSM2A	0.041	0	0.259	0	0.038	1.061	0.3	0.218	0.642	0.212
ACSM2B	0.033	0	0.433	0	0	1.43	0.449	0.287	0.687	0.276
ACSM3	1.872	15.483	0.671	0.469	3.878	2.517	1.642	3.132	1.858	5.871
ACSM4	0.023	0	0.386	0	0.033	0.902	0.36	0.031	0.835	0.245
ACSM5	0.017	0	0.119	0	0	1.224	0.301	0.178	0.738	0.166
ACSS1	2.828	2.541	1.506	0.875	2.947	0.696	1.546	0.792	0.947	0.43
ACSS2	1.571	2.925	1.746	1.85	3.585	1.095	1.325	2.906	0.842	2.623
ACSS3	0.173	0.579	3.581	0.032	0.019	3.918	1.068	0.445	0.886	0.407
ACTA1	0.027	0.042	0.064	0	0.038	0.117	0.07	0.108	0.225	0.045
ACTA2	4.153	30.54	1.869	6.595	6.862	1.511	3.415	5.305	3.388	7.509
ACTB	268.916	507.559	225.317	208.88	163.451	54.591	112.958	183.236	137.466	447.638
ACTBL2	0.014	0	0.138	0.052	0.041	0.438	0.243	0.174	0.561	0.048
ACTC1	0.011	0.577	0.182	0	0	1.041	0.198	0.058	1.092	0.201
ACTG1	385.053	731.747	404.893	228.59	213.268	60.526	152.454	163.113	126.419	415.07
ACTG2	0.517	9.182	0.072	0.477	0.642	0.525	0.471	1.054	0.757	1.147
ACTL10	0.279	0.494	0.237	0.072	0.084	0.431	0.206	0.293	0.166	0.432
ACTL6A	16.09	44.488	18.506	10.812	27.492	4.676	8.305	17.267	5.641	24.127
ACTL6B	0.026	0	0.188	0	0	0.341	0.102	0.035	0.219	0.088
ACTL7A	0	0.044	0	0	0	0.244	0.036	0.038	0.078	0.031
ACTL7B	0	0	0	0.035	0	0	0.111	0	0.08	0
ACTL8	0	0	0.155	0	0	0.657	0.197	0.174	0.361	0.133
ACTL9	0	0	0	0	0	0	0	0	0	0.016
ACTN1	5.421	28.054	3.042	2.589	5.829	0.784	2.453	9.364	2.925	5.994
ACTN2	0	0.014	0.467	0	0	0.849	0.231	0.119	0.742	0.144
ACTN4	22.736	43.445	23.748	24.329	15.586	8.84	11.019	26.621	10.084	44.852
ACTR10	11.564	17.323	12.476	6.059	6.88	3.578	6.054	8.307	4.174	10.988
ACTR1A	11.716	16.666	6.389	7.343	9.813	2.92	6.801	9.559	5.38	16.468
ACTR1B	6.432	7.966	4.299	4.239	3.304	2.012	3.887	4.516	1.488	5.36
ACTR2	62.734	96.428	61.687	47.962	37.947	11.817	29.4	28.595	22.377	113.128
ACTR3	64.819	95.462	59.324	39.162	35.052	15.595	31.476	24.509	21.681	68.348
ACTR3B	1.661	1.555	0.997	2.379	3.417	0.709	1.272	1.484	1.263	3.525
ACTR3C	3.989	5.737	1.421	4.023	3.49	2.954	4.231	1.52	1.893	3.305
ACTR5	1.208	1.492	1.938	1.3	4.25	0.352	0.948	2.155	1.039	1.431
ACTR6	8.469	16.5	11.931	6.26	7.787	7.799	5.404	6.282	2.635	13.145
ACTR8	9.588	12.693	5.773	5.853	7.643	2.263	4.664	3.836	3.487	14.145
ACTRT1	0.028	0	0	0	0	0.364	0	0.037	0.311	0.109
ACTRT2	0	0	0.068	0	0.08	0	0	0.038	0	0.016
ACTRT3	2.179	2.813	1.869	0.049	0.028	0.174	1.537	0.242	0.838	1.053
ACVR1	4.16	2.98	3.706	2.056	1.098	1.292	2.434	1.63	1.835	4.026
ACVR1B	4.385	3.364	2.779	1.818	2.275	2.181	2.184	4.209	1.491	4.905
ACVR1C	0.303	0.006904	2.329	0.473	0.182	0.52	0.224	0.202	0.42	0.371
ACVR2A	8.371	10.983	16.366	5.066	3.964	2.533	4.333	3.457	2.691	16.49
ACVR2B	6.453	5.015	2.248	5.814	4.567	1.352	2.03	4.787	1.398	9.568
ACVRL1	0.542	1.395	0.24	0.277	0.401	0.635	0.463	0.502	0.127	0.418
ACY1	2.773	8.515	8.591	3.317	2.138	1.666	1.557	0.418	1.001	3.894
ACY3	0	0.048	0	0.038	0	0.269	0	0.042	0.172	0
ACYP1	3.401	7.357	9.75	6.582	10.401	1.266	3.256	5.473	1.948	4.621
ACYP2	3.504	4.455	2.277	0.997	1.256	1.428	2.091	1.278	1.19	3.687
ADA	0.026	0.286	1.004	0.351	0.855	0.684	0.58	0.07	0.95	0.322
ADAD1	0	0	0.17	0	0	0.698	0.209	0.239	0.745	0.339
ADAD2	0.035	0.109	0.083	0	0	0.076	0	0	0.194	0.341
ADAL	1.52	0.822	1.405	0.788	1.723	1.454	1.054	1.741	1.92	2.128
ADAM10	158.865	126.89	95.743	80.005	98.669	14.152	51.203	34.594	44.121	311.234
ADAM11	0.074	0.028	0.131	0.011	0.013	0.318	0.071	0.086	0.076	0.077
ADAM12	0.133	1.202	0.248	0.154	0.228	0.751	0.224	1.861	0.85	0.273
ADAM15	1.208	6.111	8.785	2.217	2.325	1.385	1.687	2.91	0.853	4.31
ADAM17	12.527	21.458	20.422	13.014	8.961	4.501	8.205	10.905	5.895	32.079
ADAM18	0	0	0.324	0	0	0.695	0.192	0.066	0.48	0.22
ADAM19	0.125	2.137	0.208	0.211	0.545	0.647	0.266	0.266	0.518	0.263
ADAM2	0.015	0	0.4	0	0.022	1.389	0.277	0.143	0.339	0.221
ADAM20	0.333	0.202	0.792	1.329	0.53	0.501	0.861	1.082	1.123	0.185
ADAM21	0.015	0.024	0.072	0.037	0.021	0.459	0.216	0.304	0.757	0.152
ADAM22	0.306	0.349	1.263	0.796	0.826	1.305	0.637	0.981	1.001	1.473
ADAM23	0.053	0.943	0.409	0.144	0.056	1.201	0.598	0.83	1.686	0.676
ADAM28	12.276	3.152	6.977	0.146	0.046	4.989	9.076	0.264	1.431	5.501
ADAM29	0.012	0	0.087	0	0	0.683	0.236	0.081	0.606	0.331
ADAM30	0.014	0	0.225	0	0	0.35	0.087	0.09	0.449	0.075
ADAM32	0.356	0.391	0.811	0.179	0.104	1.474	0.9	0.712	1.191	1.005
ADAM33	0.034	0.053	0.164	0	0.016	0.149	0.059	0.077	0.191	0.032
ADAM7	0.012	0	0.34	0	0	1.904	0.338	0.064	0.956	0.311
ADAM8	0.478	2.943	1.427	5.666	2.157	1.112	1.076	1.177	1.154	3.252
ADAM9	61.264	99.794	21.993	18	13.325	15.349	22.176	8.055	11.339	70.376
ADAMDEC1	0.415	0.463	0.237	0.381	0.631	1.792	0.343	0.133	1.057	0.286
ADAMTS1	3.332	4.177	1.178	2.404	1.09	2.255	2.033	0.684	1.71	2.906
ADAMTS10	0.105	0.074	0.045	0.023	0.04	0.412	0.099	0.076	0.159	0.037
ADAMTS12	0.057	0.101	0.233	0.059	0.207	0.882	0.242	0.359	1.017	0.349
ADAMTS13	0.254	0.102	0.136	0.04	0.081	0.035	0.254	0.142	0.136	0.137
ADAMTS14	0.046	0.095	0.073	0.093	0.054	0.332	0.149	0.072	0.298	0.085
ADAMTS15	0.064	0.121	0.017	0.008603	0.01	0.185	0.11	0.076	0.158	0.067
ADAMTS16	0	0.025	0.135	0	0	0.808	0.273	0.152	0.563	0.144
ADAMTS17	0.026	0.009899	0.288	0.085	0.008996	0.469	0.215	0.111	0.619	0.078
ADAMTS18	0.027	0.021	0.211	0	0.019	0.828	0.133	0.228	0.663	0.201
ADAMTS19	0.294	0.172	0.34	0.144	0.056	1.133	0.462	0.371	0.748	0.274
ADAMTS2	0.114	0.346	0.19	0.221	0.218	0.371	0.185	0.168	0.238	0.124
ADAMTS20	0.021	0	0.956	0.349	0.924	1.433	0.383	0.847	0.821	0.286
ADAMTS3	0.035	0.054	0.413	0.008387	0.02	0.51	0.215	0.278	0.808	0.309
ADAMTS4	0.019	0.087	0.133	0.147	0.486	0.282	0.109	0.075	0.207	0.083
ADAMTS5	0.214	0.383	0.169	0.096	0.277	0.38	0.297	0.207	0.406	0.307
ADAMTS6	0.056	0.233	0.344	0.02	0.212	1.034	0.252	0.393	0.693	0.207
ADAMTS7	0.228	0.137	0.28	0.258	1.11	0.096	0.438	0.835	0.224	0.315
ADAMTS8	0.11	0.376	0.052	0.027	0.016	0.143	0.171	0.147	0.214	0.386
ADAMTS9	0.432	2.597	1.564	0.661	1.581	1.267	1.207	0.45	1.179	0.958
ADAMTSL1	0.02	0.125	0.156	0	0.043	0.35	0.189	0.142	0.7	0.126
ADAMTSL2	0.069	0.364	0.093	0.13	0.069	0.127	0.177	0.248	0.054	0.206
ADAMTSL3	0.044	0.214	0.275	0.006656	0.039	0.858	0.164	0.382	0.687	0.294
ADAMTSL4	0.047	0.015	0.089	0.318	0.106	0.244	0.207	0.1	0.182	0.313
ADAMTSL5	0.566	0.197	0.336	0.103	0.02	0.306	0.439	0	0.274	0.157
ADAP1	1.272	3.05	0.207	0.421	2.379	0.226	0.9	1.115	0.482	2.302
ADAP2	0.442	1.322	0.315	1.101	0.394	0.572	0.684	1.001	0.856	0.433
ADAR	20.072	30.465	26.49	18.423	22.837	4.337	17.095	23.603	7.485	30.859
ADARB1	0.386	0.615	0.506	0.188	0.681	0.746	0.691	2.442	0.478	0.828
ADARB2	0.034	0.022	0.08	0.005795	0.02	0.124	0.093	0.128	0.292	0.04
ADAT1	4.234	5.145	3.362	2.314	2.972	1.233	2.196	2.557	1.99	4.909
ADAT2	1.074	1.082	1.091	2.257	1.731	0.503	1.395	0.759	0.788	0.56
ADAT3	0	0	0	0	0	0.107	0	0	0	0.055
ADC	0.204	0.029	0.22	0.224	0.131	0.881	0.311	0.148	0.359	0.175
ADCK1	0.598	0.645	1.162	0.765	0.408	1.878	0.725	0.58	0.902	0.472
ADCK2	4.039	6.919	2.561	2.479	2.361	1.257	1.525	3.492	1.942	7.238
ADCK3	2.698	11.124	3.517	6.463	3.117	1.255	1.947	2.251	1.111	6.435
ADCK4	1.021	1.23	0.962	1.271	0.981	0.42	0.669	0.54	0.359	1.924
ADCK5	0.7	1.786	0.929	0.547	0.696	0.267	0.798	0.714	0.342	0.857
ADCY1	0.981	1.203	0.269	0.027	1.331	0.937	0.326	0.721	0.43	0.758
ADCY10	0.03	0.035	0.479	0.027	0.032	1.128	0.231	0.667	0.723	0.261
ADCY2	0.031	0.009564	0.205	0	0.026	0.827	0.287	0.239	0.684	0.147
ADCY3	1.785	2.138	2.383	2.61	3.342	0.795	0.903	3.399	1.095	3.049
ADCY4	0.207	0.303	0.207	0.525	0.184	0.47	0.281	0.406	0.512	0.175
ADCY5	0.11	1.352	0.092	0	0	0.419	0.184	0.086	0.197	0.126
ADCY6	2.833	6.166	2.741	3.747	2.338	1.07	2.301	3.061	1.555	2.826
ADCY7	0.25	1.419	0.313	0.239	0.278	0.256	0.357	0.325	0.219	0.867
