Feature.ID	ST3_RPKM_fwd_RNA.Seq	SB3_RPKM_fwd_RNA.Seq	SC3_RPKM_fwd_RNA.Seq	SL3_RPKM_fwd_RNA.Seq	SC4_RPKM_fwd_RNA.Seq	SL4_RPKM_fwd_RNA.Seq	ST4_RPKM_fwd_RNA.Seq	SB4_RPKM_fwd_RNA.Seq	SC2_RPKM_fwd_RNA.Seq	SL2_RPKM_fwd_RNA.Seq	SB2_RPKM_fwd_RNA.Seq	ST2_RPKM_fwd_RNA.Seq	SC1_RPKM_fwd_RNA.Seq	SL1_RPKM_fwd_RNA.Seq	SB1_RPKM_fwd_RNA.Seq	ST1_RPKM_fwd_RNA.Seq
ABCC11	0.197	0	0.056	0.312	0.113	0.029	0.06	0.046	0.191	0	0.023	0.007946	0.087	0.494	0.007362	0.012
ABCC12	0.208	0	0.013	0.025	0.054	0.00929	0.043	0	0.019	0	0	0	0.012	0.488	0.028	0
ABCC2	1.108	0.119	2.198	34.131	0.33	5.893	0.131	7.694	0.032	10.357	0.066	0.286	6.596	11.075	0.258	0.273
ABCC3	1.001	1.2	4.278	11.435	7.882	6.084	1.039	4.822	2.905	15.085	0.723	1.724	18.291	3.844	21.82	1.156
ABCC4	1.653	1.212	3.694	0.306	2.279	0.215	1.164	1.878	1.596	0.067	1.529	2.233	1.861	0.853	0.613	2.583
ABCC5	1.219	2.978	1.302	0.488	1.029	0.904	1.166	0.403	1.386	0.415	6.994	1.966	2.208	0.467	2.891	2.14
ABCC6	0.058	0.036	0.659	6.123	0.299	2.659	0.112	0.123	0.318	6.301	0.02	0.028	1.092	3.111	0.026	0.041
ABCC8	0.065	0.03	0.014	0.026	0	0.145	0.059	0	0.298	0	0	0.007834	0	0.253	0	0
ABCC9	1.157	2.556	1.127	5.017	0.667	2.61	0.265	0.552	2.797	0.593	0.45	0.866	2.101	3.964	0.282	0.896
ABCD1	0.176	0.342	0.335	0.627	0.492	0.367	0.391	0.031	0.432	1.142	0.271	0.234	0.632	0.079	1.085	0.173
ABCD2	1.391	0.451	0.051	0.036	0.017	0.045	0.633	0	0.236	0.078	0.569	2.278	0.091	0.563	0.413	1.624
ABCD3	2.523	5.79	4.969	20.314	2.998	3.553	1.675	0.84	7.086	3.527	24.488	5.259	14.148	7.022	7.927	5.887
ABCD4	1.5	1.94	1.338	3.802	0.923	2.159	1.642	3.321	1.524	2.519	1.558	2.137	3.492	1.72	4.658	2.275
ABCE1	3.645	6.463	4.84	4.826	7.005	3.686	2.656	0.163	8.063	2.594	10.249	6.909	7.334	2.127	9.632	6.686
ABCF1	2.082	4.449	4.818	5.143	9.804	3.451	2.59	3.85	4.429	2.054	3.955	3.715	4.079	1.595	15.626	2.671
ABCF2	1.776	2.998	2.712	1.89	3.587	2.15	1.213	0	3.917	3.069	4.978	3.044	3.414	0.863	11.016	2.558
ABCF3	1.214	1.893	2.675	3.153	2.482	2.595	1.115	0.089	2.926	2.115	4.06	2.108	2.51	1.131	5.676	1.497
ABCG1	1.553	1.295	2.135	0.903	1.591	0.852	0.775	0.126	2.213	0.116	4.046	1.991	3.075	0.941	1.824	2.024
ABCG2	0.837	0.58	0.272	2.79	0.107	0.656	0.116	0.048	0.482	0.088	0.313	0.442	2.892	2.79	2.854	0.374
ABCG4	0.082	0.038	0.017	0.016	0	0	0.037	0	0.008206	0	0.014	0.02	0.031	0.074	0	0.058
ABCG5	0.393	0	0.298	4.684	0.034	2.681	0.121	0.083	0.012	0	0.04	0	0.956	2.795	0	0
ABCG8	0.202	0	0.051	6.613	0	2.072	0.041	1.026	0	0	0	0	0.937	3.492	0	0
ABHD1	0.149	0.069	0.047	0.088	0	0	0.051	0	0	0	0.115	0.135	0.126	0.603	0.125	0.04
ABHD10	2.239	1.196	2.757	3.333	2.852	1.689	1.53	3.104	2.016	0.317	4.785	4.543	3.386	1.87	4.155	3.76
ABHD11	0.732	0.854	4.309	0.869	5.13	0.849	1.076	2.171	2.615	0	0.639	0.876	1.989	0.264	4.105	0.547
ABHD12	1.518	3.144	10.651	2.569	2.917	1.812	1.784	0.142	5.479	0.694	7.104	3.348	5.785	1.689	10.626	3.575
ABHD12B	0.756	0.088	0.279	0	0.135	0.028	0.065	0	0.567	0	0.032	0	0.036	0.738	0.063	0
ABHD13	2.051	2.263	6.706	1.433	2.007	1.014	2.33	0.064	1.48	0.079	1.98	4.972	5.089	1.079	5.793	4.367
ABHD14A	0.486	0.408	0.369	0.807	0.042	0	0.398	0.103	2.274	0	0.748	0.739	0.495	0.7	1.761	0.519
ABHD14B	1.237	0.906	1.314	6.917	2.335	5.733	1.72	0.14	3.95	7.899	4.829	1.712	2.224	2.665	3.262	2.098
ABHD15	0.832	0.82	1.194	3.15	0.412	1.099	1.355	0.169	1.161	0.995	1.428	2.133	1.032	1.757	1.933	1.178
ABHD16A	0.781	1.558	2.169	2.188	1.585	0.542	0.934	0.138	2.63	1.687	1.514	1.603	2.848	1.368	5.36	0.926
ABHD16B	0	0	0	0.036	0	0	0.041	0	0	0	0.062	0	0.034	0.055	0.122	0
ABHD2	2.381	4.117	6.138	26.546	6.707	10.687	1.828	4.33	8.816	28.089	41.849	3.907	47.735	9.426	10.196	4.605
ABHD3	1.147	0.851	1.518	1.268	1.592	0.744	0.962	0.11	0.548	2.433	1.231	2.608	4.633	1.127	9.156	2.311
ABHD4	0.686	1.861	1.629	2.876	0.793	2.43	0.454	0.363	3.695	0.667	1.365	1.197	2.525	0.85	5.228	1.145
ABHD5	1.106	4.764	1.807	2.469	1.115	1.874	1.058	3.854	1.442	0.156	6.543	1.676	1.57	1.069	2.909	1.889
ABHD6	0.495	1.867	0.683	6.057	1.005	1.946	1.029	0.095	2.187	3.323	1.478	1.385	2.952	2.026	2.612	1.056
ABHD8	0	0.168	0.456	0.489	0.022	0	0.264	0.873	0.185	0.2	0.159	0.205	0.146	0.232	1.729	0.22
ABI1	4.476	9.89	7.685	2.993	8.026	2.428	4.664	1.328	5.509	2.327	7.535	11.33	9.404	1.463	12.076	9.526
ABI2	1.91	4.772	2.922	1.508	4.02	2.023	1.941	2.709	4.501	0.129	5.201	3.503	4.944	0.853	4.288	2.944
ABI3	1.021	0.595	0.226	0.545	0.373	1.457	3.469	0.648	1.976	3.175	1.126	2.441	0.578	0.23	0.634	2.289
ABI3BP	3.971	3.748	1.142	0.443	1.655	3.467	2.113	2.523	10.138	0	2.668	6.243	1.661	1.3	0.784	5.883
ABL1	1.137	3.889	3.644	1.189	2.064	1.401	1.005	0.841	3.77	3.158	2.594	1.583	2.482	0.618	6.678	1.696
ABL2	1.362	4.96	3.07	1.494	3.215	1.936	1.314	1.352	2.671	1.82	2.118	1.927	3.038	1.042	7.324	2.021
ABLIM1	5.704	28.68	15.325	12.027	14.176	6.384	6.288	2.018	2.575	4.435	12.383	13.236	12.265	2.779	6.737	15.342
ABLIM2	0.29	0.561	4.145	0.172	0.871	0.099	0.304	0	1.624	0	0.057	0.315	0.908	0.14	1.316	0.464
ABLIM3	0.472	1.98	1.226	13.094	1.313	10.122	0.348	0.657	1.296	2.607	0.548	0.585	4.215	3.578	7.493	0.809
ABO	2.045	3.497	20.923	0.404	20.863	0.091	1.933	4.692	4.05	0.265	2.064	1.21	4.629	0.614	0.114	1.492
ABP1	0.266	0.269	5.695	0	3.354	0	0.076	0	5.175	1.034	0.023	0.193	8.027	0.759	0.342	0.237
ABR	2.251	3.996	8.687	0.76	6.436	0.571	2.59	2.914	2.691	1.211	3.598	3.029	1.685	0.468	7.775	3.373
ABRA	0.313	0	0	0	0	0	0.013	0	0	0	0.02	0	0	0.246	0.013	0.063
ABRACL	3.567	2.733	16.848	1.738	9.965	1.591	4.003	0.27	13.952	0.495	11.507	8.954	11.893	1.721	8.296	11.288
ABT1	1.046	0.754	1.715	1.41	0.961	0.127	1.267	0.654	0.799	1.294	1.733	2.188	1.856	1.199	5.666	1.903
ABTB1	0.532	0.621	1.617	0.821	0.664	0.546	0.746	0.169	1.422	0	0.738	1.003	0.783	0.096	2.77	0.654
ABTB2	0.132	0.778	0.306	0.82	0.528	0.588	0.247	0.07	0.902	0.512	0.327	0.111	0.832	0.435	1.231	0.293
ACAA1	2.071	5.298	6.329	37.138	2.162	7.575	2.042	2.506	3.835	22.317	7.563	3.366	6.931	17.322	8.76	3.727
ACAA2	2.004	3.348	16.343	47.343	7.512	11.196	1.388	3.3	9.92	45.442	4.228	2.904	20.753	17.294	5.362	2.555
ACACA	1.428	3.762	3.286	2.239	3.293	1.574	1.228	1.582	1.865	2.023	8.467	2.125	2.515	1.866	3.959	2.131
ACACB	0.71	0.83	1.407	7.013	1.18	2.123	0.604	0.591	0.548	3.619	0.526	1.159	2.008	4.318	0.438	0.832
ACAD10	0.996	1.027	2.123	2.612	1.205	1.298	1.567	0.056	0.7	1.223	1.52	1.643	2.595	1.109	2.578	1.399
ACAD11	2.815	3.783	1.571	11.528	2.368	4.55	2.947	0.481	0.936	5.767	2.16	3.806	4.453	6.925	3.15	3.539
ACAD8	0.879	1.298	1.484	2.289	0.399	0.457	0.868	5.119	1.304	0.38	2.632	1.893	1.658	1.276	2.738	1.277
ACAD9	1.589	2.846	2.778	3.843	2.39	0.261	1.542	1.859	2.571	0.325	4.484	3.12	3.288	1.468	9.037	2.41
ACADL	0.648	0.081	0.164	2.767	0	2.928	0.118	0	0.337	0	0.155	0.172	0.464	1.79	0.29	0.069
ACADM	2.346	3.532	3.491	14.968	4.689	4.792	2.7	0.087	6.657	8.962	6.317	6.517	6.382	8.305	5.651	6.834
ACADS	0.168	0.236	1.812	5.729	0.145	1.428	0.096	0.178	0.185	3.056	0.115	0.142	1.144	1.77	1.263	0.24
ACADSB	1.921	1.284	4.575	29.007	2.282	11.992	1.968	2.571	0.946	11.764	1.627	2.495	10.898	23.156	0.328	2.863
ACADVL	4.573	13.072	15.035	37.92	7.622	24.681	3.722	4.57	10.296	12.294	3.685	6.487	11.92	11.623	26.236	6.911
ACAN	0.024	0.062	0.455	0.007223	0.042	0	0.012	0.026	1.217	0.047	0.019	0.013	0.076	0.154	0.515	0.0065
ACAP1	3.09	0.761	0.163	0.433	0.24	0.019	3.929	0.136	0.515	0.334	1.168	5.862	0.219	0.309	0.85	3.986
ACAP2	4.249	6.189	4.693	2.048	3.872	1.895	5.103	1.542	5.014	1.576	15.711	8.817	6.099	1.366	9.207	9.921
ACAP3	0.344	3.165	1.432	1.24	0.837	0.715	0.792	0.364	0.524	0.445	6.452	1.048	0.875	0.671	2.98	0.81
ACAT1	2.669	3.569	11.247	62.029	3.268	25.554	1.273	8.583	5.287	21.336	2.507	3.502	12.05	21.358	2.941	2.903
ACAT2	2.429	3.301	4.304	12.968	4.385	6.934	1.209	0	5.31	9.444	5.521	2.841	3.534	4.626	4.356	2.445
ACBD3	3.05	9.898	9.611	4.388	7.943	4.377	3.218	7.225	7.375	4.343	5.935	6.914	9.806	1.74	12.801	6.399
ACBD4	0.547	0.291	0.741	1.506	0.839	0.801	0.494	0.331	0.363	5.163	0.381	0.863	0.862	1.161	1.337	0.542
ACBD5	1.265	1.935	3.778	7.128	4.513	3.013	1.495	0.107	2.194	1.082	3.155	2.768	6.298	3.554	4.832	2.714
ACBD6	1.465	2.547	2.487	1.106	6.184	2.585	1.365	0.776	3.758	0	4.889	2.631	1.394	0.66	7.334	2.88
ACBD7	0.319	0.06	0.809	0.095	0.384	0	0.24	0.135	0.7	0.869	0.902	0.116	0.072	0.316	0.172	0.068
ACCS	1.097	0.534	1.6	1.359	1.005	0.596	0.815	0	0.286	0.186	2.302	1.279	0.918	0.258	1.538	0.968
ACCSL	0.296	0	0.112	0	0	0	0	0	0	0	0	0	0.033	0.479	0	0
ACD	0.313	0.364	0.824	0.247	1.187	0.651	0.783	0.386	1.094	0.203	0.882	0.378	0.295	0.188	1.801	0.334
ACE	0.33	0.558	0.561	0.135	0.248	0	0.063	0.284	0.78	0	0.889	0.224	0.77	0.13	1.419	0.407
ACE2	0.399	0.315	5.652	0.546	1.425	0.014	0.01	0.292	0.341	0	0.016	0.022	0.747	0.415	0.268	0.033
ACER1	0.099	0.185	0	0	0	0	0.034	0	0	0	0	0.072	0	0.089	0	0.053
ACER2	0.755	1.091	2.388	0.493	0.649	0.168	0.387	10.75	0.147	0.587	34.133	0.52	2.114	0.85	3.522	0.544
ACER3	1.693	3.364	2.298	0.611	1.255	1.456	2.02	2	1.524	0.382	2.783	2.311	2.791	0.862	4.571	2.868
ACHE	0.146	0.051	0.392	0.216	0.36	0	0.311	0	0.109	0	0.037	0.237	0.536	0.164	0.073	0.155
ACIN1	5.169	7.689	4.661	4.059	9.876	7.905	8.285	9.948	4.427	1.953	6.358	8.598	6.429	1.998	12.145	6.791
ACLY	2.695	5.489	9.655	3.051	5.708	1.996	2.703	2.095	12.391	1.058	19.749	5.107	5.191	1.425	21.69	4.633
ACMSD	0.516	0	0.054	3.774	0.037	3.183	0.147	0	0	3.008	0	0.031	1.07	4.104	0	0.046
ACN9	0.523	0.464	0.298	0.466	0.945	0.187	0.215	0.111	1.696	0.203	2.498	0.739	0.947	0.518	2.213	0.95
ACO1	1.213	2.305	4.739	16.961	2.307	5.558	1.015	2.023	4.203	9.431	3.548	2.153	5.747	7.592	6.881	1.651
ACO2	1.885	4.322	4.399	6.103	3.545	3.608	2.924	1.414	4.336	5.496	4.555	4.084	4.4	2.865	5.893	4.046
ACOT1	0.134	0.282	0.042	1.912	0	0.03	0	0	0.222	0.522	0.138	0.049	1.71	2.177	0.406	0.072
ACOT11	0.889	0.637	2.31	0.188	1.255	0.425	0.477	0.101	0.8	0	0.733	0.38	0.898	1.687	1.534	0.339
ACOT12	0.758	0	0.479	10.497	0.116	6.324	0.018	0	0.146	4.839	0	0.039	1.5	4.679	0	0.058
ACOT13	1.298	0.617	4.107	3.487	2.674	1.06	1.33	1.815	1.609	1.047	1.332	1.455	3.201	2.294	4.045	1.033
ACOT2	0.242	0.282	0.459	3.338	0.052	3.697	0.186	0	1.071	0.235	0.466	0.285	1.78	1.635	2.803	0.161
ACOT4	0	0.031	0.167	0.704	0.085	0.177	0.068	0	0	0	0.068	0.072	0.485	0.832	2.125	0.035
ACOT6	0.214	0	0	0	0	0	0	0	0	0	0	0	0	0.676	0	0
ACOT7	0.36	0.63	0.998	0.775	0.271	0.362	0.139	0.859	2.325	0	0.763	0.588	0.816	0.284	3.509	0.505
ACOT8	0.46	0.9	2.501	1.799	0.079	0.164	0.502	1.168	2.041	1.43	1.746	1.066	1.352	0.414	3.857	0.834
ACOT9	2.306	5.261	4.181	2.921	5.171	2.252	1.277	2.574	7.724	1.939	3.743	3.726	4.761	0.954	7.218	3.427
ACOX1	1.93	4.639	6.356	25.25	5.515	8.984	1.439	5.842	7.769	13.21	17.607	3.55	14.019	12.498	3.755	3.49
ACOX2	0.606	0.457	2.095	11.642	0.481	2.1	0.287	0.049	0.182	8.519	0.024	0.22	2.479	6.76	0.141	0.224
ACOX3	0.787	2.183	1.849	1.844	0.853	1.203	0.563	0.912	0.944	2.767	2.557	1.561	1.505	0.877	2.967	1.739
ACOXL	0.544	0.042	0.23	0.027	0	0	0.139	0	0	0	1.606	0.247	0.051	0.449	0.137	0.363
ACP1	6.974	7.171	14.217	10.003	27.544	5.048	7.811	3.389	22.282	13.113	22.005	12.054	19.957	5.303	24.428	11.016
ACP2	0.652	0.608	1.62	3.148	1.401	0.872	0.986	0.641	1.844	0.362	1.768	1.029	1.528	1.174	5.157	0.87
ACP5	0.714	1.054	1.543	0.776	0.46	1.326	0.995	0.567	2.124	0.231	2.961	1.853	2.793	0.375	6.728	0.794
ACP6	0.536	0.555	2.713	1.589	1.433	0.292	0.244	0.063	0.911	0	3.545	1.165	3.571	1.072	2.878	0.953
ACPL2	1.015	1.436	1.713	0.562	0.698	0.619	1.063	0.358	1.158	0.132	1.059	1.434	1.627	0.579	1.852	2.059
ACPP	0.705	3.55	0.178	0.05	0.315	0.013	0.212	0	0.279	0.548	0.174	1.001	0.287	0.508	1.845	1.445
ACPT	0.08	0.037	0	0	0	0	0.027	0	0	0	0	0	0	0.072	0	0
ACR	0.157	0.183	0.497	0.14	0.236	0.175	0	0	1.674	0	0.04	0	0.044	0.212	0.422	0.042
ACRBP	0.114	0.053	0.181	0.135	0.589	0.025	0.292	0	0.103	0	0.322	0.269	0.065	0.257	0.364	0.122
ACRC	0.982	0.553	0.343	0.261	0.597	0.106	0.937	0.466	0.285	0	0.713	1.374	0.441	0.641	0.955	1.139
ACRV1	0.55	0	0.058	0.054	0	0	0	0	0.247	0	0.047	0.033	0	0.825	0.031	0
ACSBG1	0.181	0.202	0.023	0	0	0	0.099	0.191	0	0	0.056	0.026	0	0.033	0.061	0
ACSBG2	0.476	0	0	0.024	0.239	0	0.068	0	0	0	0.02	0.014	0.022	0.536	0.08	0
ACSF2	0.529	1.009	5.659	2.51	1.24	2.359	0.46	0.153	2.524	0.374	1.357	0.871	1.469	1.342	6.036	0.847
ACSF3	0.47	0.671	2.136	1.306	0.479	0.38	1.183	0.062	1.708	0.913	1.31	1.605	1.494	0.581	2.315	1.144
ACSL1	2.348	7.124	6.284	71.704	1.897	23.872	1.981	4.643	2.844	36.075	24.568	3.721	22.409	51.468	10.313	4.198
ACSL3	2.172	7.505	7.435	9.883	4.923	4.734	1.349	0.444	5.681	10.364	11.313	3.944	12.695	3.646	12.876	3.663
ACSL4	3.047	6.37	5.669	0.922	7.797	1.341	2.895	0.235	6.351	0.784	14.892	6.55	10.354	0.781	15.808	6.15
ACSL5	2.473	1.22	26.527	10.369	25.037	5.86	1.689	4.84	6.962	3.8	5.77	4.792	21.831	5.904	10.23	3.837
ACSL6	0.451	0.036	1.143	0.314	3.345	0.43	0.255	0.016	1.429	0	0.04	0.632	0.097	0.631	0.01	0.623
ACSM1	0.367	0.049	0.1	0.062	0	0	0.09	0	0	0	0.054	0.019	0.119	0.709	0.053	0.028
ACSM2A	0.508	0.034	0.598	32.356	0.702	14.562	0.099	0.5	0.011	18.073	0.019	0.026	4.829	15.079	0	0.058
ACSM2B	0.837	0.041	0.92	38.3	0.947	16.01	0.12	3.591	0.026	13.356	0.023	0.08	5.507	17.136	0.03	0.094
ACSM3	0.94	0.285	1.784	6.354	0.788	0.629	0.53	0.05	0.775	5.115	0.989	0.375	2.286	5.501	0.41	0.226
ACSM4	0.556	0	0.039	0	0	0	0.063	0.065	0	0	0.032	0.022	0	0.779	0	0
ACSM5	0.576	0.083	0.561	26.745	0.114	8.74	0.151	4.037	0.04	5.688	0.114	0.241	4.741	14.534	0	0.118
ACSS1	1.66	1.523	9.54	0.651	5.651	1.182	2.095	1.333	3.366	0.312	3.738	2.94	5.197	0.265	0.467	2.473
ACSS2	0.539	1.085	7.979	4.899	4.318	2.526	0.61	0.286	2.418	0.786	2.059	0.855	4.216	2.459	5.206	1.278
ACSS3	0.958	1.175	0.786	7.116	0.244	4.147	0.218	1.015	1.757	1.38	1.858	0.424	3.052	3.644	0.298	0.455
ACTA1	8.796	0	0.046	0.128	0.217	0	0.296	2.29	0.281	0.28	0	7.21	0.082	0.065	0.048	19.551
ACTA2	3.489	22.345	47.325	9.279	15.847	7.963	0.854	15.701	126.054	8.365	8.417	4.951	22.605	1.571	39.491	4.16
ACTB	134.558	319.844	464.305	275.876	202.536	163.477	170.92	107.179	744.619	410.182	314.261	309.996	267.89	51.363	1032.073	316.151
ACTBL2	0.27	0	0.073	0.046	0.033	0.481	0.026	2.162	0	0	0	0	0.065	0.312	6.363	0
ACTC1	0.175	0.041	0.129	0.017	0.025	0	0.02	3.796	0.367	0.453	0.269	0.127	0.115	0.263	0.029	0.078
ACTG1	41.678	154.712	97.792	81.777	80.38	33.459	45.486	28.1	286.731	91.851	82.675	98.694	84.834	31.272	176.513	108.121
ACTG2	0.728	4.299	1.587	0.288	0.139	0.108	0.055	18.239	9.949	4.402	1.743	0.293	0.778	0.51	11.619	0.302
