Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
ABR	0.624	7.785	0.45	2.826	0.973	10.532	3.163	7.629	0.689	7.287	1.804	8.129	1.445	7.506	6.939	1.545
ABRA	0	0	0	0	0	0.015	0.031	0.034	0	0.01	0.066	0.011	0	0.015	0.13	0
ABRACL	1.531	14.236	0.301	3.029	1.637	33.707	7.659	30.618	1.69	52.265	4.069	18.581	1.97	33.002	26.214	4.873
ABT1	0.095	2.898	0.337	0.925	0	3.782	1.708	5.105	0.21	4.775	0.879	3.03	0.368	5.092	2.961	0.303
ABTB1	0.107	1.406	0	0.374	0.427	0.885	1.081	2.019	0.824	1.828	0.179	1.183	0.165	0.902	0.577	0.272
ABTB2	0.044	0.372	0	0.107	0.035	0.385	0.103	0.232	0.049	0.554	0.148	0.297	0.136	0.311	2.599	0.588
ACAA1	1.067	16.072	0.839	7.804	1.806	9.99	5.591	14.315	1.57	11.224	2.885	12.293	2.104	12.493	15.186	2.868
ACAA2	0	1.922	0	0.06	0.179	2.224	0.652	4.53	0.123	1.491	0.561	5.521	0.775	8.231	3.314	0.994
ACACA	0.739	5.919	0.738	2.674	0.82	8.233	5.894	9.523	1.422	11.948	1.845	9.827	2.369	12.786	18.508	3.51
ACACB	0.07	0.835	0.055	0.906	0.112	1.245	0.591	1.288	0.18	0.869	0.293	1.1	0.18	0.79	0.593	0.148
ACAD10	0.105	1.633	0.372	2.026	0.421	4.052	2.19	4.216	0.638	3.6	0.617	3.547	0.932	3.756	2.603	0.702
ACAD11	0.485	4.961	0.358	4.875	0.778	9.231	3.262	3.874	0.602	4.284	1.476	5.701	0.702	4.499	3.59	1.235
ACAD8	0	2.051	0.231	1.32	0.235	3.055	1.182	6.326	0.432	4.231	0.328	3.412	0.453	5.59	4.763	0.374
ACAD9	0.586	9.428	0.494	3.095	0.806	11.654	1.893	8.484	0.37	9.179	1.687	7.796	1.228	10.398	13.769	1.812
ACADL	0	0.088	0	0	0	0.274	0	0.022	0.096	0.011	0.218	0.126	0	0.06	0.345	0.055
ACADM	0.495	8.336	0.292	3.649	0.727	12.622	4.821	16.131	1.183	9.242	1.799	8.351	1.273	16.471	16.667	2.047
ACADS	0	0.304	0	0.061	0.18	1.457	0.263	1.196	0	1.461	0.094	0.569	0	0.716	0.495	0.286
ACADSB	0.508	5.915	0.128	1.253	0.466	11.646	3.211	5.13	0.28	3.936	1.432	3.467	0.7	5.338	3.107	0.647
ACADVL	0.856	31.315	1.313	18.014	4.049	61.252	8.909	36.776	2.646	45.716	6.466	39.401	6.673	43.375	29.372	6.049
ACAN	0	0.132	0.058	0.053	0.02	0.323	0.009508	0.141	0.027	0.206	0.061	0.545	0.019	0.262	0.483	0.062
ACAP1	0	1.599	0	0.51	0.138	2.444	0.134	0.386	0	0.201	0.216	1.585	0	0.092	0.547	0.055
ACAP2	0.511	8.836	0.426	1.582	0.627	12.632	3.575	10.433	1.096	7.636	1.666	8.179	1.509	11.606	25.963	3.676
ACAP3	0.344	3.666	0.338	2.693	0.552	2.535	1.051	3.595	0.76	3.762	0.578	3.544	1.461	5.181	8.791	2.045
ACAT1	0.101	2.762	0.119	0.571	0.485	6.562	0.904	2.956	0.111	4.742	1.439	4.41	1.012	8.8	6.02	0.578
ACAT2	0.556	4.747	0.328	1.238	0.446	18.921	1.572	8.244	0.153	8.848	1.167	5.221	0.966	13.204	10.785	1.062
ACBD3	1.21	12.965	0.499	2.742	1.164	13.03	8.016	15.178	1.269	13.527	2.843	13.919	2.988	19.441	16.698	3.735
ACBD4	0	0.397	0.092	0.781	0	0.744	0.732	1.616	0.086	1.545	0.197	0.822	0	0.884	0.702	0.05
ACBD5	0.355	6.888	0.239	1.859	0.325	11.579	3.457	11.823	0.783	7.878	1.191	7.548	1.017	11.207	14.476	1.29
ACBD6	0.667	13.805	0.157	3.312	0.642	5.809	5.773	9.205	1.326	10.294	2.016	10.742	3.193	12.294	9.971	1.784
ACBD7	0	0.476	0	0.017	0.051	0.435	0.125	0.05	0	0.191	0.054	0.308	0.198	0.976	5.652	0.937
ACCS	0.287	2.036	0.226	2.579	0.23	2.816	2.049	3.991	0.844	2.669	0.241	1.469	0.443	0.955	0.949	0.183
ACCSL	0	0	0	0.032	0	0.011	0	0	0	0	0	0	0	0.083	0.035	0
ACD	0	1.8	0.123	0.253	0	1.138	0.407	2.12	0.115	3.172	0	0.807	0.161	1.984	1.954	0.598
ACE	0.165	2.067	0	0.268	0.166	1.579	0.37	0.625	0.046	1.379	0.451	3.641	0.638	3.482	2.066	0.184
ACE2	0.061	0.374	0	0.232	0.148	1.249	0	0.399	0	0.088	0.155	0.102	0	0.151	0.179	0
ACER1	0	0	0	0	0	0.018	0	0.051	0	0	0	0	0	0.009213	0.094	0
ACER2	1.512	9.56	0.892	4.263	1.03	9.726	43.764	109.153	4.34	16.124	4.505	15.556	11.73	64.839	75.864	6.546
ACER3	0.737	4.47	0.174	1.419	0.473	6.644	1.15	3.191	0.271	3.3	0.536	2.694	0.721	3.896	2.545	0.407
ACHE	0	0.074	0	0.039	0	0.095	0.028	0.303	0	0.208	0.306	0.521	0	0.068	0.633	0.139
ACIN1	1.467	24.448	1.434	5.938	2.285	13.356	15.539	18.901	4.72	15.581	8.76	23.642	7.377	26.51	18.505	4.99
ACLY	1.189	11.891	0.701	3.849	1.35	17.27	8.283	25.624	2.351	39.849	2.619	18.982	2.791	30.367	49.605	5.739
ACMSD	0	0	0	0	0	0.016	0.134	0.015	0	0.022	0	0.017	0	0.064	0.082	0
ACN9	0.105	1.772	0.247	0.424	0.252	2.775	0.409	1.604	0	2.41	0.44	1.917	0.405	3.928	3.745	0.534
ACO1	0.121	4.929	0.215	1.229	0.39	6.211	2.249	10.501	0.335	8.63	0.561	3.699	0.844	6.78	6.2	0.657
ACO2	0.393	11.676	0.278	3.693	0.757	13.178	3.925	18.211	1.303	16.828	1.981	11.334	2.49	18.804	39.929	3.606
ACOT1	0	0	0	0.145	0	0.828	0.157	0.453	0	0.384	0	0.34	0	0.488	1.503	0.343
ACOT11	0.382	1.634	0.075	1.51	0.153	1.405	1.314	4.194	0.211	2.445	0.8	3.139	1.227	3.81	2.4	0.526
ACOT12	0	0.037	0	0.029	0	0	0	0.037	0	0	0	0.005273	0	0.116	0.058	0
ACOT13	0	3.483	0.347	0.622	0.315	3.787	0.88	2.078	0.054	1.956	0.618	2.539	0.379	2.97	2.462	0.437
ACOT2	0	0.574	0.143	0.458	0.097	1.299	0	3.049	0.401	2.582	0.102	1.079	0.094	1.843	2.753	0.077
ACOT4	0	0	0	0	0	0.406	0	0.879	0	0.927	0	0.231	0	0.283	0.88	0
ACOT6	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.04	0.064	0
ACOT7	0	1.16	0	0.195	0.145	1.355	0.176	0.718	0.1	0.797	0.076	1.216	0.139	1.594	9.315	0.747
ACOT8	0	1.556	0	1.093	0	4.051	2.225	4.505	0.203	6.888	0.464	2.302	0.142	2.645	6.064	0.586
ACOT9	0.125	4.264	0.295	1.482	1.301	10.44	2.725	7.609	0.689	10.816	1.048	6.911	0.289	4.667	4.298	1.113
ACOX1	0.517	5.164	0.353	2.093	0.589	11.139	8.299	25.604	1.743	24.565	2.125	10.058	2.228	17.028	68.443	8.077
ACOX2	0.093	0.284	0	0.025	0	0.287	0	0.113	0	0.024	0	0.132	0	0.178	0.139	0
ACOX3	0.3	4.414	0	2.065	0.361	4.567	2.691	8.075	0.663	10.826	0.63	4.879	0.695	6.721	10.401	1.433
ACOXL	0.091	1.813	0.322	2.623	0.219	2.041	11.122	14.029	3.411	10.433	3.203	7.514	4.138	15.334	3.392	0.926
ACP1	1.031	15.835	0.946	2.441	1.836	23.239	8.525	27.757	2.149	31.768	2.499	13.63	3.27	22.481	21.049	4.155
ACP2	0.187	1.829	0.11	1.459	0.673	5.364	0.727	4.862	0.103	5.16	0.313	1.946	0.072	2.12	4.602	0.594
ACP5	0.238	0.886	0.141	0.321	0.191	3.909	0.232	0.669	0	0.155	0.1	1.055	0.184	0.692	2.394	0.531
ACP6	0.239	11.492	0.141	5.116	0.574	4.48	5.579	15.578	0.922	13.104	1.902	6.903	2.025	8.128	6.976	0.835
ACPL2	0.203	4.286	0.4	0.768	0.326	4.588	3.593	6.891	0.898	25.954	1.593	3.37	2.302	11.395	10.155	2.158
ACPP	0.395	1.757	0.067	0.305	0.317	1.685	0.132	0.342	0	0.176	0.142	0.486	0	0.278	0.225	0.108
ACPT	0	0	0	0	0	0.06	0	0	0	0.021	0	0.016	0	0.074	0.029	0
ACR	0	0.053	0	0	0	0	0.061	0	0	0	0	0.007656	0	0.029	0.122	0.1
ACRBP	0	0.155	0	0.401	0	0.437	0.223	0.158	0	0.445	0.288	0.423	0	0.76	0.272	0.073
ACRC	0	1.239	0.16	1.666	0.109	0.942	1.031	0.833	0.15	0.952	0.74	1.512	0.524	0.83	1.384	0.389
ACRV1	0	0.062	0	0	0	0.017	0	0	0	0	0	0.008926	0	0.102	0.065	0
ACSBG1	0.145	1.468	0	2.069	0.058	0.088	0.677	0.613	0.32	2.18	0.486	0.778	0.279	0.972	2	1.013
ACSBG2	0	0.027	0	0	0	0.015	0	0.014	0	0	0	0.007735	0	0.067	0.033	0
ACSF2	0.482	1.595	0.227	3.923	0.463	5.656	3.491	10.806	0.213	5.616	1.374	5.771	0.818	4.329	15.057	2.207
ACSF3	0.235	2.206	0.416	1.427	0	1.715	0.55	1.601	0.13	1.451	0.345	1.556	0.454	1.899	3.488	0.748
ACSL1	1.02	16.478	0.334	3.303	0.591	7.512	2.607	10.508	0.813	12.269	1.76	11.96	1.356	14.829	51.082	5.52
ACSL3	1.088	17.185	0.933	6.03	1.705	29.13	7.266	16.242	1.965	16.613	2.78	12.867	2.023	21.923	12.971	2.077
ACSL4	0.323	2.46	0.334	1.33	1.458	24.151	2.536	9.762	0.535	9.123	1.391	11.049	0.53	5.227	18.443	1.75
ACSL5	0.749	19.258	0.544	3.201	0.923	19.081	8.261	42.462	1.335	21.101	3.238	12.777	2	24.68	31.31	3.74
ACSL6	0	0.095	0.037	0.008412	0.05	0.14	0.012	0.038	0.034	0.02	0	0.146	0	0.055	0.189	0.04
ACSM1	0	0.284	0	0	0.084	0.02	0.041	0.573	0.116	0.123	0	0.189	0	0.191	0.119	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0.061	0
ACSM2B	0	0	0	0	0	0.016	0	0	0	0	0	0.017	0	0.078	0.047	0
ACSM3	0	0.7	0	0.33	0	0.693	0.257	1.53	0	0.22	0.158	1.483	0	1.785	6.888	0.3
ACSM4	0	0	0	0	0	0.035	0	0	0	0	0	0.006017	0	0.063	0.132	0
ACSM5	0	0.06	0	0	0	0.033	0	0.253	0	0	0	0.056	0	0.087	0.106	0
ACSS1	0.215	1.487	0.19	0.622	0.344	4.275	2.425	6.705	0.711	7.614	1.035	3.131	0.745	2.683	2.015	0.512
ACSS2	0.068	2.123	0.319	0.783	0.271	4.4	1.369	2.82	0.522	4.666	0.51	2.457	0.521	2.753	5.368	0.946
ACSS3	0	0.577	0.084	1.285	0.285	3.585	0.831	2.323	0	2.419	0.239	0.391	0.055	0.453	0.38	0.181
ACTA1	0	0	0	0.117	0	0.35	0.056	0.287	0.319	0.413	0	0.07	0	0.168	0.206	0.092
ACTA2	1.049	12.801	1.512	1.383	3.269	27.985	5.54	40.774	2.315	50.276	3.715	45.455	2.967	39.072	31.96	22.692
ACTB	50.94	577.601	32.149	89.448	78.9	880.835	511.813	1696.335	121.646	2549.532	106.161	622.56	101.129	766.78	730.73	145.523
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0.003754	0	0.029	0.018	0
ACTC1	0	0.039	0	0	0.047	0.06	0	0.025	0	0	0	0.02	0	0.033	0.045	0.149
ACTG1	16.904	168.147	13.414	41.014	25.295	340.995	289.123	1347.308	61.969	2333.725	42.468	212.433	41.115	418.905	417.508	55.95
ACTG2	0.162	1.698	0	0.044	0.909	8.94	1.768	7.94	0.894	14.771	0.408	7.21	0.125	3.14	3.361	5.982
ACTL10	0.106	0.359	0	0.086	0	0.763	0.166	0.662	0	0.884	0.178	0.238	0.082	0.287	0.316	0
ACTL6A	1.018	13.234	0.534	1.831	1.451	15.851	2.381	15.706	1.249	19.351	2.089	9.223	2.62	23.219	27.009	3.385
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0.017	0
ACTL7A	0	0	0	0	0	0.014	0	0	0	0	0	0.007319	0	0.021	0.045	0
ACTL7B	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0.007119	0	0
