Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
AADACL2	0	0.032	0	0.031	0	0	0.197	0	0	0.127	0	0	0	0	0	0	0.078	0	0.036	0	0	0	0	0	0	0.075	0	0	0	0
AADACL3	0.033	0	0.008587	0	0	0	0.073	0.02	0	0.006698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042
AADACL4	0.043	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0.076	0	0	0	0	0	0	0	0	0	0	0	0.108
AADAT	3.419	0.798	5.525	1.544	3.862	0.479	2.126	1.392	2.509	5.663	2.458	0.54	1.41	1.385	1.895	0.876	1.675	2.822	0.588	2.994	1.351	1.264	0.553	1.66	1.165	1.119	3.393	1.424	0.676	1.479
AAED1	1.1	1.254	1.164	0.935	2.251	0.94	1.632	1.066	3.847	3.055	0.68	0.681	6.457	2.594	1.632	0.562	4.05	4.949	1.287	1.72	1.535	3.815	1.898	1.52	0.447	1.922	3.805	2.174	1.328	1.244
AAGAB	13.684	8.937	16.468	11.062	15.084	6.314	18.202	10.01	37.55	30.313	7.572	5.377	29.938	29.84	20.879	7.357	34.117	26.303	7.833	21.834	5.766	19.377	9.104	15.799	7.443	21.55	17.033	12.032	5.306	22.611
AAK1	2.041	2.634	2.616	2.584	1.463	2.709	2.305	2.833	3.687	1.538	1.673	2.146	3.294	3.076	1.566	2.255	3.157	1.411	1.713	1.775	1.905	1.747	2.57	1.063	2.473	2.083	1.37	2.594	1.508	3.631
AAMDC	2.807	3.713	3.518	1.637	3.572	2.743	6.024	3.077	10.097	15.659	2.286	2.944	6.656	15.159	7.116	2.009	13.55	3.811	1.618	6.618	1.357	9.736	2.966	5.279	2.416	2.892	2.775	8.304	3.227	5.04
AAMP	11.837	6.745	12.76	5.674	15.533	5.14	16.191	7.102	24.414	27.438	6.181	4.293	13.805	28.379	21.392	6.505	28.598	26.718	5.883	17.231	5.148	18.897	5.743	12.168	5.907	14.133	11.309	11.247	2.98	22.006
AANAT	0	0.046	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0
AAR2	2.775	1.614	3.336	2.181	2.168	1.784	2.98	2.159	4.415	5.41	1.871	3.294	4.922	3.058	3.714	2.081	4.675	9.752	4.54	7.626	1.55	3.355	2.133	4.222	2.3	2.669	2.553	2.492	1.141	2.047
AARD	0.113	0.054	0.019	0.026	0.126	0.129	0.083	0	0.026	0.046	0.027	0.052	0	0.071	0.035	0	0.065	0.067	0.061	0	0	0	0.093	0.149	0.068	0.188	0	0.071	0	0
AARS	18.457	8.524	20.15	6.619	20.156	6.476	26.586	9.569	25.138	31.087	8.849	7.544	17.222	20.789	24.124	7.073	21.941	28.454	4.244	19.948	5.316	13.487	5.811	13.844	8.592	16.362	22.094	16.461	3.335	17.167
AARS2	2.832	1.014	3.039	1.045	3.318	1.373	2.811	0.768	3.902	2.694	1.395	1.881	2.688	2.763	3.215	1.194	2.997	5.574	1.399	2.459	0.822	1.71	0.452	2.392	0.764	1.993	1.803	1.379	0.389	1.948
AARSD1	3.853	0.985	6.143	0.202	6.765	0.76	6.026	0.539	7.842	8.073	0.503	0.204	2.822	5.971	7.555	0.178	7.938	14.876	0.678	5.791	1.504	5.653	1.096	6.437	0.937	5.59	5.297	2.976	0.852	3.6
AASDH	2.194	0.674	3.26	1.016	3.175	0.873	3.929	1.398	3.995	5.391	2.588	1.015	3.856	3.617	4.224	1.251	3.113	2.444	0.687	3.253	1.056	2.755	0.373	2.54	1.111	1.416	2.617	1.78	0.457	2.472
AASDHPPT	5.582	2.801	7.705	3.412	9.321	2.094	12.45	4.08	9.816	15.167	2.776	1.783	10.022	9.871	9.286	1.812	10.69	14.751	4.257	7.854	1.733	8.004	2.728	5.859	2.83	5.134	6.273	6.029	1.868	5.919
AASS	2.1	2.387	1.386	1.67	0.355	2.237	0.435	0.987	2.809	1.016	1.282	1.659	2.478	1.765	2.156	1.38	2.212	4.571	2.362	3.498	2.329	2.189	1.952	2.266	1.7	1.356	0.675	1.901	1.345	0.692
AATF	14.319	5.559	16.581	5.779	17.475	5.488	20.58	9.608	20.556	28.679	5.748	4.375	13.046	19.126	19.735	5.807	22.287	68.667	7.67	24.351	4.79	15.826	4.499	17.025	4.464	12.673	15.567	13.092	4.34	13.051
AATK	0.44	0.582	0.59	0.573	0.336	0.279	0.076	0.076	0.58	0.213	0.252	0.346	0.257	1.012	0.985	0.809	0.784	0.246	0.791	0.426	0.128	0.654	0.062	0.397	0.204	0.628	0.043	0.142	0.26	0.126
ABAT	1.5	1.465	3.459	2.133	0.332	0.563	1.005	0.496	1.446	2.113	0.951	1.017	2.162	3.006	3.469	1.345	3.509	1.427	3.072	2.191	0.634	2.877	0.728	1.436	1.016	0.813	2.948	1.305	0.744	1.599
ABCA1	4.869	3.769	7.895	3.573	1.945	4.146	3.374	2.067	6.505	6.585	3.284	3.938	13.781	7.411	1.77	1.762	11.943	6.321	2.868	2.223	3.711	4.65	3.305	2.179	3.837	2.989	3.839	7.813	2.079	7.9
ABCA10	0.319	0.424	1.818	0.854	0.338	1.183	0.567	0.297	1.831	0.518	0.724	0.527	0.731	2.063	1.39	0.608	2.337	0.303	0.721	2.44	1.053	1.587	0.184	1.303	0.721	0.832	0.11	0.28	0.22	0.802
ABCA12	0.203	0.015	0.183	0.099	1.102	0.037	1.068	0.114	0.056	0.549	0.285	0.02	0.346	0.092	0.122	0.017	0.006283	4	0.135	0	0	0	0.054	0.029	0.524	0	0.401	0.041	0	0
ABCA13	0.098	0.045	0.388	0.12	0.524	0.02	0.125	0.00475	0.088	0.518	0.265	0.135	0.193	0.01	0.835	0.625	0.005095	0.168	0.165	0.266	0.109	0.163	0	0.155	0.223	0.098	0.109	0.089	0.122	0.049
ABCA2	1.733	0.959	2.895	1.776	2.147	1.033	1.382	0.84	1.003	3.676	2.243	2.352	1.871	1.393	1.898	1.841	1.829	0.912	1.028	0.861	0.757	1.957	0.457	0.509	0.954	0.764	0.697	1.229	0.278	0.668
ABCA3	0.041	0.087	0.189	0.201	0.297	0.487	0.162	0.271	0.206	0.123	0.074	0.266	0.608	0.506	0.196	0.367	0.405	0.181	0.23	0.318	0.129	0.388	0.326	0	0.395	0.254	0.211	0.192	0	0.511
ABCA4	0.092	0.039	0.024	0.044	0.015	0	0.172	0.022	0.026	0.063	0	0	0.039	0.017	0	0.005528	0.044	0.025	0.067	0	0	0.032	0.023	0	0.042	0.046	0	0	0	0.023
ABCA5	3.017	2.451	6.894	1.964	3.269	3.77	2.672	1.166	5.968	4.453	3.335	3.728	10.955	11.61	9.721	4.875	9.213	2.592	1.293	8.44	3.025	7.648	1.31	5.9	1.188	3.371	1.888	1.839	0.817	5.777
ABCA6	0.522	1.142	1.096	0.848	0.329	1.088	0.329	0.324	2.162	0.865	0.426	0.42	1.407	2.685	0.463	0.405	3.196	0.521	1.099	0.729	2.647	2.647	0.909	0.754	1.276	1.164	0.176	0.575	0.307	1.247
ABCA7	1.403	0.296	1.295	0.37	0.891	0.422	0.69	0.383	0.484	1.122	0.532	0.571	0.803	0.843	1.031	0.582	0.766	0.916	0.239	0.515	0.401	0.617	0.17	0.351	0.518	0.444	0.82	0.502	0.136	1.366
ABCA8	0.236	1.057	1.86	1.674	0.039	2.738	0.272	0.414	18.812	2.598	0.776	0.827	1.833	11.257	0.411	0.963	21.65	0.567	1.084	0.245	1.255	17.686	0.871	0.465	1.287	7.859	0.611	0.155	0.528	8.969
ABCA9	0.278	0.769	0.761	0.545	0.107	1.115	0.353	0.143	0.793	0.297	0.237	0.353	0.465	0.884	0.298	0.289	1.278	0.171	0.406	0.78	1.302	0.964	0.448	0.591	0.657	0.534	0.148	0.161	0.111	0.323
ABCB1	4.386	5.851	7.476	3.401	10.32	5.862	2.819	2.06	47.779	4.733	1.175	2.163	13.253	34.32	9.549	4.114	79.706	3.31	2.341	22.966	4.204	32.058	3.768	16.304	2.401	15.216	13.393	8.875	0.788	44.634
ABCB10	3.546	1.767	3.858	1.853	4.303	1.523	12.72	5.079	8.674	6.349	1.793	1.539	6.299	7.825	8.224	1.67	7.847	11.798	3.792	4.824	1.684	6.058	1.809	3.587	2.746	4.709	6.103	3.584	1.205	5.971
ABCB11	0.155	0.02	0.058	0.086	0.153	0.579	0.24	0.103	1.362	0.085	0.01	0.078	0.362	0.533	0.065	0.076	0.471	0.163	0	0.257	0.072	0.049	0	0	0.064	0.517	0.146	0	0	2.908
ABCB4	0.659	0.241	1.508	0.494	0.324	0.173	0.501	0.368	0.697	0.428	0.154	0.419	1.178	0.778	1.995	0.457	1.398	0.828	0.355	0.572	0.129	0.938	0	0.734	0.626	0.59	1.227	0.572	0.291	0.849
ABCB5	0.07	0.118	0.004499	0.059	0	0.045	0.206	0.021	0.067	0.074	0	0.132	0.114	0.117	0.011	0.031	0.215	0	0.042	0	0.133	0.091	0.086	0	0.055	0.044	0.03	0.016	0.03	0.066
ABCB6	1.697	0.747	2.131	0.714	1.883	0.534	1.791	0.46	2.077	1.644	0.536	0.461	1.907	1.955	3.019	0.698	1.654	9.568	2.018	1.396	0.68	1.161	0.495	1.411	1.351	1.56	4.788	1.135	0.385	1.291
ABCB7	6.521	3.759	7.778	4.166	6.93	3.475	11.681	6.361	12.417	14.464	4.478	2.564	8.536	14.43	10.275	3.648	12.422	18.283	3.007	15.885	4.44	10.573	2.714	10.812	3.468	6.388	8.983	6.854	1.46	8.726
ABCB8	0.532	0.338	0.535	0.333	0.913	0.566	0.83	0.523	1.207	0.822	0.419	0.634	1.169	0.975	0.77	0.406	1.116	2.115	0.534	0.975	0.365	0.649	0.248	0.398	0.429	0.886	0.995	0.758	0.099	0.651
ABCB9	0.207	0.209	0.231	0.223	0.216	0.059	0.398	0.251	0.217	0.173	0.113	0.19	0.262	0.31	0.179	0.238	0.866	0.353	0.264	0.359	0.087	0.359	0.085	0.272	0.171	0.287	0.298	0.162	0.059	0.477
ABCC1	8.222	3.29	10.276	4.705	6.694	3.071	5.099	3.233	3.374	5.966	4.041	5.044	5.014	2.643	4.93	4.973	3.668	10.481	14.919	10.777	3.88	2.456	2.733	7.012	4.795	2.494	4.935	4.657	1.345	3.483
ABCC10	2.121	0.861	2.876	1.25	1.575	1.138	1.755	1.15	1.518	1.707	1.333	1.12	0.795	0.895	1.928	1.364	1.383	2.747	1.324	2.442	0.845	0.941	1.033	1.023	0.947	0.923	0.64	0.673	0.468	1.178
ABCC11	0.11	0.029	0.078	0.131	0.057	0	0.106	0.033	0.029	0.083	0.03	0	0	0.005137	0.046	0.017	0.005946	0.024	0.033	0	0	0	0	0	0	0	0	0.026	0	0.069
ABCC12	0.117	0.009286	0.006728	0.053	0	0	0.057	0	0	0.042	0	0	0.006833	0	0.007976	0.007837	0	0	0	0.068	0	0	0	0	0.012	0	0	0	0	0
ABCC2	0.414	1.026	1.638	0.59	0.757	0.137	0.345	0.113	0.28	0.102	0.087	0.037	0.252	0.13	0.082	0.184	0.144	0.226	0.431	2.259	0.609	0.231	0.099	1.106	0.205	0.178	0.646	0.176	0.046	0.101
ABCC3	10.738	4.279	9.894	4.373	10.247	7.234	12.314	6.566	22.59	18.718	15.033	9.501	12.909	12.136	18.081	14.445	15.852	3.337	2.331	15.486	5.416	9.664	2.615	8.884	5.162	12.55	9.816	6.761	1.675	19.437
ABCC4	4.02	1.727	6.351	3.357	2.745	1.898	4.821	2.311	12.202	11.218	2.467	2.833	9.664	8.599	2.571	1.555	9.709	13.183	4.531	6.598	2.488	7.475	2.949	4.298	3.174	5.685	5.965	1.278	0.743	7.665
ABCC5	1.651	1.074	5.012	1.823	2.055	1.648	1.631	1.087	4.824	2.009	2.545	2.719	2.855	3.917	2.679	2.529	3.182	3.485	3.072	2.685	1.089	1.985	1.317	1.582	1.948	2.191	2.376	1.437	0.691	6.834
ABCC6	0.942	0.731	1.184	0.6	0.343	0.661	0.265	0.146	0.312	0.578	0.782	0.815	0.728	0.719	0.414	0.573	1.057	1.194	3.372	1.605	0.613	0.754	0.149	1.049	0.251	0.462	0.251	0.364	0.042	0.455
ABCC8	0.014	0.048	0.105	0.037	0	0.116	0.03	0	0.161	0.005448	0.03	0	0	0.177	0.041	0.041	0.141	0.012	0.055	0	0	0	0.033	0	0.061	0.113	0	0	0.047	0.238
ABCC9	1.154	1.27	0.781	0.742	0.186	1.211	0.932	0.637	0.702	0.513	0.087	0.132	1.202	0.638	0.146	0.091	0.645	0.794	0.887	0.394	1.596	0.414	1.197	0.189	1.216	0.265	0.468	1.184	0.384	0.2
ABCD1	0.754	0.747	0.854	0.638	1.152	1.069	0.91	0.512	1.325	0.836	0.448	0.861	1.523	1.046	0.647	0.354	1.609	3.834	0.816	1.389	0.233	0.383	0.181	1.525	0.581	0.918	1.081	0.623	0.317	1.479
ABCD2	0.177	0.314	0.456	0.146	0.105	0.345	0.132	0.076	0.688	0.264	0.156	0.278	1.329	0.826	0.432	0.235	0.672	0.686	0.081	0.099	0.256	0.613	0.093	0.05	0.228	0.567	0.305	0.071	0.043	0.444
ABCD3	11.872	4.853	14.962	5.733	12.462	6.128	25.481	6.707	54.342	41.613	7.877	5.862	39.747	65.856	35.668	6.656	60.513	25.312	7.261	25.704	5.087	40.248	4.374	16.467	6.765	38.801	22.158	12.226	2.814	57.043
ABCD4	4.802	2.128	6.817	2.453	4.972	1.715	4.058	1.525	3.702	5.928	3.044	2.703	6.856	6.453	6.959	2.733	7.164	6.256	2.119	3.447	1.245	4.441	1.789	2.613	2.352	2.664	4.799	4.339	1.03	4.935
ABCE1	15.728	7.186	15.959	6.468	23.517	3.681	31.527	8.505	31.559	38.282	6.623	4.423	22.606	16.672	29.918	6.663	23.784	31.848	6.677	21.681	4.076	13.595	5.94	14.591	6.836	16.067	21.006	12.55	2.825	13.325
ABCF1	16.222	5.569	16.692	5.516	16.551	6.152	18.086	6.48	19.928	18.211	5.91	5.596	10.469	16.232	14.917	4.922	22.882	24.297	5.337	16.115	2.763	13.694	4.219	9.294	3.971	10.908	10.227	7.762	2.012	14.324
ABCF2	6.459	2.212	7.859	2.749	7.928	2.384	9.834	4.468	11.86	11.287	2.697	3.498	10.275	8.935	13.037	3.469	12.521	19.277	3.447	11.632	2.865	7.589	1.697	8.362	3.954	7.841	10.194	6.212	1.947	7.718
ABCF3	6.13	1.791	7.597	1.853	5.972	1.836	7.947	2.412	9.728	9.3	2.612	1.767	6.384	8.519	8.679	2.079	10.258	11.32	2.051	7.439	1.196	7.904	1.873	4.034	1.964	6.19	6.252	5.326	0.903	7.243
ABCG1	3.514	3.474	3.588	1.246	1.155	2.077	3.164	1.313	5.411	7.734	2.958	2.058	9.775	6.407	3.282	1.786	8.395	2.065	1.071	3.311	1.565	4.084	1.659	1.697	1.959	2.395	4.073	3.131	0.516	6.483
ABCG2	0.212	1.472	0.168	0.26	0.213	2.105	0.264	0.086	6.573	0.348	0.118	0.312	3.546	16.824	0.199	0.111	11.576	0.416	0.149	0.369	0.287	6.235	0.314	0.671	0.422	3.651	0.294	0.826	0.586	29.849
ABCG4	0.017	0	0.008834	0.035	0.014	0.029	0.019	0.021	0	0.00689	0	0	0.018	0.019	0.01	0	0.007415	0.061	0.014	0	0	0.059	0	0	0.031	0.028	0	0	0.059	0.043
ABCG5	0.049	0.508	0.051	0.033	0.144	0	0.054	0.03	0.017	0.287	0.152	0	0.064	0.028	0.128	0.089	0.043	0.175	0.02	0.064	0.062	0	0.061	0.097	0.133	0.123	0.085	0	0	0.062
ABCG8	0.051	0.468	0.013	0.052	0.148	0.043	0.028	0	0.018	0.183	0.248	0.035	0.053	0.019	0.093	0.228	0	0	0.041	0	0.064	0	0	0.1	0	0.042	0	0	0	0
ABHD1	0.186	0	0.048	0	0.039	0.08	0.102	0.056	0.033	0.113	0.102	0	0.049	0.035	0.1	0.084	0.061	0	0.113	0.121	0	0	0	0	0	0.078	0	0	0	0
ABHD10	4.128	2.16	4.813	2.79	5.831	1.961	8.403	3.736	9.517	16.668	2.698	2.28	14.544	11.492	9.775	2.742	11.137	13.464	4.072	8.365	2.069	9.457	2.073	5.233	2.901	5.894	7.933	4.365	1.669	4.227
ABHD11	8.48	2.383	8.562	3.928	11.367	4.545	8.035	3.887	16.027	14.261	7.455	7.571	12.034	12.985	15.297	5.896	23.169	13.517	2.589	12.538	2.442	9.697	2.373	9.412	4.514	11.517	11.891	13.805	2.054	20.621
ABHD12	2.739	3.205	9.95	5.208	6.347	4.252	4.423	3.013	10.886	16.502	4.556	6.193	11.702	16.827	12.105	4.922	18.338	16.234	9.134	9.174	3.899	9.983	3.582	6.731	4.797	9.161	11.31	7.365	2.794	16.014
ABHD12B	2.406	0.731	0.061	0.054	1.746	0.337	0.195	0.096	0.303	0.222	0.129	0.163	0.413	0.517	0.012	0.024	0.461	11.352	2.515	2.98	0.901	0.547	0.778	1.713	0.071	0.328	0	0	0	0.099
ABHD13	4.029	2.978	6.269	3.449	5.985	2.129	6.9	4.357	9.305	6.184	2.048	1.749	6.793	6.083	7.79	2.399	9.308	16.281	4.164	12.382	4.159	6.258	2.725	8.28	3.789	4.8	10.066	4.258	1.665	4.951
ABHD14A	0.851	0.173	0.879	0.538	0.812	0.624	1.504	0.368	0.978	3.892	0.863	0.67	3.824	1.684	1.451	0.841	2.239	1.896	0.344	0.317	0.154	1.265	0.15	0	0.44	1.417	1.893	1.03	0.21	0.764
ABHD14B	4.479	4.962	3.809	3.197	6.834	5.2	9.116	3.684	11.678	40.987	6.982	17.202	23.371	24.511	20.738	11.833	22.837	14.854	6.359	5.474	1.753	16.301	3.476	3.166	6.17	8.834	7.46	5.152	2.574	11.327
ABHD15	1.322	0.955	1.695	1.13	1.371	0.65	1.805	0.703	2.675	3.57	1.45	1.406	3.914	3.147	2.076	1.167	3.244	4.656	1.535	2.66	0.914	2.153	0.642	1.423	0.742	1.333	0.97	1.508	0.138	3.623
ABHD16A	2.933	1.315	3.798	1.625	3.787	1.672	4	1.645	5.527	5.007	1.917	1.495	4.981	5.58	3.722	1.143	7.352	10.719	2.214	4.245	1.929	3.956	0.803	2.145	1.816	3.028	2.536	2.147	1.311	2.867
ABHD16B	0	0	0.039	0	0.063	0.13	0.063	0.092	0.08	0.015	0.014	0	0	0.014	0.046	0.023	0.016	0.101	0	0	0	0	0	0.15	0.069	0.063	0	0	0	0
ABHD2	18.673	17.55	22.286	17.09	14.286	6.723	43.6	21.647	21.138	53.383	18.391	6.834	21.056	16.678	31.19	19.867	16.68	13.987	10.598	49.223	22.983	13.791	9.802	33.676	14.003	14.597	22.814	29.552	9.463	17.671
ABHD3	2.187	1.674	3.453	0.844	4.443	2.902	7.804	2.136	22.396	11.34	3.041	2.516	23.9	28.672	10.415	2.355	32.762	7.446	1.133	3.742	1.242	15.057	0.805	2.965	1.475	10.647	5.985	2.581	0.675	23.876
ABHD4	1.289	1.396	1.996	1.041	0.673	1.286	2.155	0.781	3.024	4.41	1.378	1.183	2.927	4.653	2.916	1.291	4.362	1.818	1.344	1.259	0.818	3.073	0.927	1.485	1.383	1.788	1.672	1.971	0.185	3.24
ABHD5	1.473	1.147	2.41	1.558	2.438	2.26	4.04	1.754	6.382	5.112	1.676	1.681	6.471	6.929	3.746	1.475	7.851	4.362	1.981	2.23	1.245	4.54	1.924	1.839	2.127	3.163	2.482	1.895	1.172	6.359
ABHD6	2.281	2.246	3.69	2.164	1.458	1.589	6.731	2.558	5.947	9.429	2.131	1.201	7.201	7.281	4.548	1.777	9.342	2.408	1.159	2.201	0.786	4.199	1.735	0.667	2.289	4.264	3.506	2.12	0.777	6.581
ABHD8	0.258	0.161	0.416	0.153	0.054	0.441	0.035	0	0.338	0.337	0.199	0.266	0.473	0.639	0.325	0.078	0.461	0.46	0.364	0.084	0.082	0.224	0.318	0.382	0.175	0.429	0.223	0.121	0	0.729
ABI1	10.492	7.384	17.937	7.682	15.168	6.346	20.426	7.955	27.353	34.712	8.778	5.551	25.978	35.759	26.309	7.712	32.585	26.55	9.259	21.106	6.473	23.825	5.102	16.981	5.449	17.133	16.542	14.813	4.491	23.59
ABI2	3.452	3.688	4.298	5.311	3.638	4.035	2.709	4.358	3.258	4.537	2.728	1.918	3.111	3.047	1.937	2.769	2.774	4.169	4.212	5.255	4.722	3.209	4.127	3.777	4.8	1.592	3.381	2.916	2.761	2.038
ABI3	0.511	1.047	1.022	0.543	0.72	0.983	0.281	0.503	1.698	0.862	0.616	1.803	2.629	2.582	1.251	0.691	3.28	2.334	0.438	0.916	0.892	0.997	0.63	0.505	0.52	1.595	0.995	1.203	0.22	2.248
ABI3BP	0.542	2.425	1.018	1.557	0.252	7.649	0.306	0.967	7.1	1.091	0.773	3.442	7.792	4.38	1.106	2.137	4.887	1.235	1.532	1.531	2.102	7.157	2.748	1.011	1.756	2.381	0.313	0.964	0.779	1.401
ABL1	3.525	2.575	4.764	3.681	4.869	6.163	4.868	3.107	4.67	4.257	2.907	4.713	4.317	4.381	3.232	3.579	4.752	5.638	4.386	4.622	2.723	4.311	2.925	2.856	4.114	3.535	2.814	2.978	1.403	3.72
ABL2	2.493	2.159	2.883	2.387	2.331	2.486	4.95	3.969	3.077	2.148	1.657	1.774	2.342	2.245	2.221	1.944	3.302	4.058	3.774	2.623	2.77	1.921	2.718	1.578	2.445	1.401	1.824	2.046	1.984	2.423
ABLIM1	14.794	8.999	19.778	12.131	16.066	9.296	34.133	13.596	32.285	55.411	21.05	11.081	25.989	28.394	39.099	18.355	26.2	28.732	17.833	18.583	5.661	21.079	7.341	12.978	10.55	19.824	23.101	11.808	4.896	19.498
ABLIM2	1.91	1.639	4.094	1.954	0.745	0.477	1.019	0.591	0.478	2.06	1.938	1.056	0.65	0.976	0.648	0.738	0.9	3.826	3.556	3.597	1.592	0.774	0.653	1.817	1.587	0.51	1.785	1.155	0.481	0.561
ABLIM3	0.249	0.62	1.083	0.708	0.779	0.93	0.393	0.49	1.424	1.151	0.452	0.792	0.701	1.344	0.447	0.505	1.939	0.762	0.439	0.931	1.143	1.294	0.843	0.552	0.716	0.621	0.914	0.819	0.161	1.016
ABO	24.835	75.28	17.131	43.938	10.084	95.863	6.214	43.889	8.565	13.466	94.217	60.969	7.067	5.908	8.824	66.92	8.188	6.083	20.697	5.114	5.088	15.539	8.835	4.381	27.718	14.557	8.856	8.273	6.621	12.548
