Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
ABCB8	0.575	1.215	0.898	0.431	1.248	0.203	0.516	0.925	0.514	0.951	0.898	0.451	0.171	0.893
ABCB9	0.393	0.286	0.185	0.09	0.346	0.097	0.16	0.461	0.168	0.184	0.218	0.154	0.25	0.162
ABCC1	2.565	3.236	9.485	4.235	7.216	1.393	3.188	8.025	2.102	6.249	8.984	2.909	1.733	5.954
ABCC10	0.844	1.469	0.875	0.722	1.722	0.662	0.491	1.473	0.621	1.131	1.528	0.956	0.342	1.02
ABCC11	0.548	0.062	0.074	0.018	3.434	0.039	0.055	1.56	0.335	5.84	0.074	0.225	0.326	3.575
ABCC12	0.684	0	0.014	0	0.036	0.111	0.017	0.076	0.042	0.181	0	0.233	0.069	0.025
ABCC2	0.898	0.02	0.086	0.087	0.134	0.075	0.142	0.078	0.065	0.1	0.181	0.219	0.018	0.138
ABCC3	0.773	0.54	0.481	0.532	0.992	0.795	0.238	1.121	0.374	0.3	0.832	0.82	0.067	0.108
ABCC4	8.053	4.356	165.865	31.91	152.555	2.346	16.294	29.977	5.201	124.987	121.779	9.371	11.911	170.42
ABCC5	1.176	0.979	1.427	1.316	3.946	0.836	1.228	3.196	1.194	3.509	2.122	1.053	0.982	2.987
ABCC6	0.84	0.729	0.052	0.031	0.154	0.102	0.064	0.182	0.353	0.116	0.513	0.45	0.143	0.114
ABCC8	0.494	0.51	0.772	0.264	0.111	0.23	0.198	0.328	0.286	0.159	2.142	0.707	0.214	0.051
ABCC9	2.28	0.865	2.15	1.275	5.415	1.193	1.944	8.985	1.061	2.844	4.722	0.475	0.872	4.558
ABCD1	0.336	1.331	1.127	0.239	1.779	0.416	0.342	1.982	0.388	1.235	1.081	0.576	0.315	1.175
ABCD2	0.446	0.381	0.217	0.164	0.345	0.036	0.201	0.811	0	0.215	0.228	0.188	0.083	0.285
ABCD3	4.089	1.686	15.308	2.841	23.101	1.003	2.379	17.505	1.788	10.424	18.211	1.27	0.96	13.995
ABCD4	1.51	1.384	3.696	1.667	4.364	0.543	0.652	3.922	0.763	2.822	3.763	1.146	0.591	3.671
ABCE1	2.878	1.454	16.78	3.241	19.418	1.408	2.303	12.104	1.723	9.643	13.306	1.15	1.971	12.822
ABCF1	3.595	3.99	11.591	3.088	18.29	0.88	1.652	12.819	1.928	10.016	12.118	1.973	1.103	10.55
ABCF2	2.195	2.422	7.688	2.021	11.89	0.748	1.546	8.771	1.29	5.908	7.962	0.974	0.559	6.271
ABCF3	2.75	2.884	9.186	1.977	11.623	0.963	0.974	7.943	0.639	6.843	7.627	1.328	0.829	8.077
ABCG1	1.621	0.987	5.79	1.751	12.575	0.423	0.67	3.95	1.063	3.148	3.633	0.808	0.542	5.903
ABCG2	0.904	0.598	1.827	0.534	1.874	0.44	0.47	2.53	0.782	1.796	3.11	0.422	0.261	2.289
ABCG4	0.293	0	0	0.022	0	0.097	0.114	0.029	0.167	0.018	0.015	0.306	0.09	0
ABCG5	0.196	0	0	0	0	0	0	0	0.04	0	0	0.073	0	0
ABCG8	0.231	0	0	0	0	0	0.101	0	0.123	0	0	0.151	0.033	0
ABHD1	0.266	0	0.1	0.061	0.213	0.132	0	0.078	0.227	0.497	0.295	0.069	0.061	0.482
ABHD10	2.791	1.576	22.477	3.35	20.123	2.45	3.112	11.558	1.905	11.52	17.074	1.596	2.991	16.098
ABHD11	2.405	1.59	5.325	1.491	18.537	0	1.095	8.614	1.043	7.721	6.673	1.231	0.242	6.851
ABHD12	3.156	2.613	10.461	2.182	20.231	2.212	3.116	9.921	2.498	10.488	9.526	2.918	1.88	14.081
ABHD12B	0.81	0.119	0	0.051	0	0	0	0	0	0	0	0.118	0	0
ABHD13	1.044	0.633	4.21	1.356	5.673	0.611	1.215	4.787	0.805	3.414	4.424	0.455	1.022	4.886
ABHD14A	1.249	0.825	2.028	0.791	3.942	0.172	0.323	2.895	0.988	3.112	3.079	0.272	1.043	3.601
ABHD14B	2.208	3.003	9.695	2.555	14.816	4.769	4.184	7.205	3.954	9.786	8.425	3.917	5.543	11.955
ABHD15	0.64	0.997	0.926	0.469	2.303	0.396	0.266	1.99	0.358	0.961	1.503	0.597	0.132	1.431
ABHD16A	1.58	2.335	7.478	1.202	9.124	1.382	0.937	6.76	1.192	4.372	5.451	1.458	0.752	5.667
ABHD16B	0.087	0	0.082	0	0.035	0	0	0.032	0.062	0	0.034	0.057	0.1	0.036
ABHD2	9.494	6.977	50.82	14.94	87.244	9.846	6.512	28.366	8.308	100.779	37.583	4.588	16.989	108.235
ABHD3	0.894	0.492	4.776	0.765	4.232	0.369	0.693	1.582	0.371	2.297	2.745	0.097	0.99	4.173
ABHD4	1.317	2.43	4.911	1.608	4.29	0.607	1.212	5.047	0.829	4.237	3.642	1.162	1.31	3.383
ABHD5	1.192	0.589	3.412	1.294	4.343	0.391	1.002	3.533	0.859	1.865	3.392	0.713	0.548	2.721
ABHD6	1.285	0.595	1.393	0.44	2.365	0.318	0.561	2.564	1.098	1.951	2.062	0.672	0.223	1.615
ABHD8	0.515	0.535	0.659	0.503	1.089	1.185	0.428	1.239	0.367	0.378	0.758	0.337	0.255	0.636
ABI1	3.379	2.153	11.516	3.6	12.657	1.06	2.297	12.282	2.378	9.017	11.165	1.623	1.977	12.53
ABI2	2.586	3.874	6.655	4.1	6.758	2.528	5.341	8.755	3.481	7.505	7.587	2.218	4.046	8.934
ABI3	0.474	1.205	0.412	0.457	1.342	0.09	0.297	1.201	0.571	0.579	0.896	0.524	0.463	0.39
ABI3BP	1.203	5.067	0.535	0.765	1.361	1.15	1.74	2.013	1.518	1.14	0.763	0.472	1.887	0.878
ABL1	1.714	3.392	5.409	2.765	5.539	1.47	2.46	5.031	1.91	4.168	4.72	1.989	1.863	3.388
ABL2	1.094	1.687	2.624	1.4	2.908	0.874	1.655	2.634	1.376	2.624	2.235	1.104	1.651	2.769
ABLIM1	2.379	3.048	8.301	4.034	11.542	2.157	4.578	8.426	2.756	4.888	3.309	2.3	3.114	11.328
ABLIM2	0.334	0.042	0.24	0.109	0.127	0.237	0.204	0.221	0.272	0.282	0.101	0.395	0.313	0.131
ABLIM3	0.975	2.133	0.685	0.506	1.078	1.143	0.928	1.065	1.414	1.657	1.026	1.414	0.943	1.286
ABO	1.12	5.471	0.092	1.777	0.974	9.773	3.342	1.461	15.047	0.728	0.965	4.901	2.195	0.882
ABP1	0.285	0.586	0.507	0.072	0.304	0.235	0.111	0.255	0.225	0.74	2.258	0.414	0.037	0.339
ABR	2.621	4.298	3.765	2.482	8.527	1.685	2.158	7.25	2.624	6.597	5.35	2.99	1.158	5.48
ABRA	0.307	0	0	0	0.089	0	0.227	0.163	0.08	0	0.022	0.036	0.032	0
ABRACL	1.728	0.361	10.979	1.972	6.26	0.451	0.741	5.195	0.259	3.826	9.805	1.07	0.736	4.347
ABT1	1.019	0.449	4.226	0.891	3.287	0.841	0.632	2.585	0.484	1.555	2.583	0.932	0.589	2.154
ABTB1	0.57	1.86	1.255	0.477	0.943	0	0.973	1.42	0.866	0.853	1.265	1.044	0.615	0.94
ABTB2	0.455	0.352	0.355	0.358	1.091	0.117	0.182	0.93	0.268	0.454	0.559	0.533	0.199	0.543
ACAA1	6.846	3.464	13.985	4.676	24.212	0.419	1.819	13.614	2.167	16.863	12.56	1.105	0.879	17.584
ACAA2	1.828	0.788	5.509	1.179	3.912	0.788	1.387	6.024	1.359	5.423	5.135	0.676	0.827	6.026
ACACA	5.235	3.911	36.429	13.824	16.399	1.641	5.588	11.766	3.377	25.855	26.902	4.407	3.108	23.76
ACACB	1.097	2.714	1.089	1.232	2.095	1.298	1.74	3.699	1.752	1.483	2.173	1.673	1.086	1.287
ACAD10	1.16	1.114	3.388	1.772	3.774	0.464	0.958	2.521	0.906	3.848	2.952	0.269	0.844	4.426
ACAD11	3.329	3.001	6.44	4.636	7.715	0.375	3.546	9.338	1.632	7.394	11.119	1.017	0.55	7.695
ACAD8	1.709	2.305	5.229	1.512	16.438	1.297	1.704	7.814	1.49	25.39	7.38	1.322	2.298	32.445
ACAD9	2.328	2.684	8.922	2.622	11.514	0.888	1.98	8.633	1.191	7.114	7.263	1.6	1.657	8.388
ACADL	3.054	0.734	1.803	0.704	7.356	0.382	1.184	4.833	1.274	10.781	12.615	0.202	0.25	12.657
ACADM	2.851	0.738	19.678	3.923	17.759	0.729	1.881	13.667	1.256	8.296	16.937	1.191	1.257	15.429
ACADS	0.2	1.272	0.983	0.229	1.797	0.398	0.187	0.851	0.171	1.162	0.667	0.367	0	0.694
ACADSB	4.567	1.967	8.418	3.011	24.558	2.886	3.703	13.31	3.538	20.144	14.623	1.404	3.126	24.936
ACADVL	13	12.184	38.151	8.181	76.698	1.286	4.509	45.713	4.303	36.616	51.612	3.391	2.222	36.409
ACAN	0.2	0.161	0.016	0.00992	0	0.086	0.101	0.115	0.198	0.049	0.034	0.057	0	0.021
ACAP1	0.766	0.648	0.231	0.734	0.589	0.152	0.357	0.943	0.437	0.401	0.534	1.402	0.071	0.379
ACAP2	2.348	1.602	10.25	3.119	10.861	1.222	2.807	9.82	1.771	5.891	10.562	1.275	1.76	8.816
ACAP3	0.634	1.595	1.793	0.933	3.273	0.405	0.666	2.47	0.35	2.083	2.658	1.31	0.426	1.382
ACAT1	2.625	3.232	22.272	3.404	21.635	0.178	1.046	17.664	0.973	9.744	20.232	1.457	1.33	12.946
ACAT2	3.122	1.573	18.504	2.205	9.121	0.491	0.807	9.144	0.847	13.895	13.473	0.389	1.203	15.191
ACBD3	4.399	2.48	20.31	6.346	23.137	1.283	3.387	14.287	3.225	12.553	15.688	1.72	2.717	16.914
ACBD4	0.502	0.664	0.368	0.509	1.852	0.899	0.714	1.675	0.795	0.808	1.326	1.021	0.29	1.126
ACBD5	2.493	1.099	10.663	2.432	10.509	0.493	1.703	8.796	1.904	8.137	10.91	0.827	1.462	13.695
ACBD6	2.616	3.207	8.88	2.93	6.28	0.943	1.384	9.09	1.016	6.89	8.746	1.182	0.44	6.036
ACBD7	0.89	0.302	0.215	0.026	0.256	0.283	0.08	0.167	0.195	0.128	0.199	0.447	0.501	0.075
ACCS	0.716	3.063	1.863	1.244	2.372	0.253	1.189	2.719	1.407	1.719	2.836	1.915	0.906	1.993
ACCSL	0.718	0	0	0	0	0	0	0	0.241	0	0	0.055	0.098	0
ACD	0.707	2.361	2.701	0.722	2.054	0.369	0.476	1.989	0.53	1.634	2.182	1.751	0.301	1.104
ACE	1.384	1.09	5.957	0.958	2.546	0.438	0.223	2.966	0.545	2.533	2.346	0.539	0.272	2.464
ACE2	0.57	0.029	0.145	0.075	0.298	0	0.102	0.209	0.187	0.082	0.069	0.029	0.051	0.144
ACER1	0.283	0	0	0	0.057	0.175	0.082	0	0.201	0.066	0.056	0.462	0.082	0.058
ACER2	1.078	0.285	3.837	1.199	7.354	0.134	0.941	3.177	0.96	5.113	2.756	0.846	0.561	6.307
ACER3	1.419	1.344	11.102	2.798	11.357	1.476	2.243	4.695	1.647	3.93	6.874	2.039	1.337	3.234
ACHE	0.26	0	0.172	0.119	2.163	0.064	0.151	0.914	0.185	0.049	0.474	1.223	0.15	0.193
ACIN1	5.693	10.471	15.949	8.319	20.34	2.185	4.173	18.884	2.852	17.903	17.481	3.849	2.453	16.031
ACLY	10.383	6.117	36.413	8.884	48.609	2.013	5.342	20.286	3.471	46.305	39.86	3.417	4.205	62.407
ACMSD	0.982	0	0	0	0	0	0.071	0	0.175	0	0	0.482	0	0.051
ACN9	0.598	0.494	3.805	0.554	2.721	0.093	0	1.395	0.319	1.746	2.903	0.098	0.043	2.679
ACO1	3.248	4.008	7.084	1.927	11.522	1.02	2.444	11.494	1.357	5.605	10.211	0.594	2.078	9.171
ACO2	5.777	3.263	19.329	4.767	25.493	1.321	2.154	16.344	2.037	17.978	20.471	2.456	1.978	20.982
ACOT1	0.623	0.063	0.995	0.274	2.072	0.119	0.112	0.878	0.137	0.672	1.672	0.502	0.166	1.067
ACOT11	1.655	1.828	0.577	0.465	1.397	1.18	0.659	1.892	1.13	0.487	1.186	1.956	0.55	0.411
ACOT12	1.043	0	0.036	0	0	0.383	0	0.028	0	0.072	0.031	0.152	0.045	0.032
ACOT13	1.924	1.411	4.37	1.077	9.195	0.477	0.692	4.648	0.897	3.563	4.408	0.64	0.465	3.646
ACOT2	1.556	0.686	1.018	0.197	5.152	0.107	0.402	4.556	0.062	1.817	2.671	0.282	0.2	2.314
ACOT4	0.33	0	0.266	0.054	0.528	0	0	0.31	0	0.176	0.336	0	0.054	0.194
ACOT6	0.612	0.101	0	0	0	0.19	0	0.056	0	0	0	0.4	0	0.063
ACOT7	0.547	0.17	0.971	0.44	0.953	0.159	0.187	1.225	0.137	0.692	0.893	0.379	0.149	0.61
ACOT8	0.591	1.562	4.828	0.974	4.99	0.163	0.687	3.509	0.841	3.619	3.902	0.429	0.379	3.84
ACOT9	2.893	0.647	8.603	3.199	10.4	1.103	1.295	10.852	1.014	5.782	10.477	1.047	1.647	6.785
ACOX1	2.679	2.374	16.682	4.174	20.294	2.093	2.902	11.974	2.253	11.147	12.908	2.157	2.132	15.403
ACOX2	2.097	1.628	0.628	0.38	2.611	0.165	0.426	4.046	0.996	1.338	2.77	0.609	0.5	1.317
ACOX3	2.407	2.511	3.606	2.105	8.283	1.259	2.209	6.639	2.057	6.374	5.427	1.119	1.268	9.653
ACOXL	1.199	0.857	0.336	0.443	5.703	0.321	0.942	3.368	0.969	5.388	1.694	0.339	0.786	8.061
ACP1	6.287	6.153	43.763	11.875	37.631	6.172	9.737	25.167	5.64	22.317	28.472	6.191	7.551	32.964
ACP2	1.529	0.923	5.549	1.176	9.657	0.494	1.161	4.333	0.852	5.779	4.322	0.695	0.73	7.287
ACP5	0.34	0.898	0.24	0.194	3.976	0	0.198	2.55	0.968	3.373	1.481	0.444	0.687	2.485
ACP6	1.786	0.731	5.893	1.31	10.478	0.632	2.028	5.479	1.09	5.046	6.874	1.223	0.934	5.605
ACPL2	1.595	1.47	7.109	1.241	5.144	1.318	1.743	4.742	2.065	4.133	7.45	1.137	1.062	7.168
ACPP	610.64	182.917	988.732	128.391	1404.593	57.682	33.052	731.051	148.4	830.782	1196.209	28.006	20.971	820.123
ACPT	0.228	0	0	0	0	0	0	0	0	0	0.045	0.224	0.132	0
ACR	0.337	0	0.053	0.064	0.045	0	0.131	0.041	0.48	0	0.044	1.027	0.259	0
ACRBP	0.489	0.269	0.423	0.279	0.457	0	0.142	0.477	0.116	0.609	0.808	0.533	0.047	0.772
ACRC	0.605	0.608	0.479	0.166	0.484	0	0.281	0.567	0.207	1.13	0.556	0.032	0.112	0.698
ACRV1	0.85	0	0.37	0.672	0	0	0.304	0.239	0.373	0.795	0.207	1.197	0.227	0.162
ACSBG1	0.439	0.034	0.049	0.029	0	0.256	0	0.057	0.184	0.072	0.061	0.067	0.03	0.021
ACSBG2	0.539	0	0.027	0	0.045	0.07	0.033	0.021	0.161	0.026	0	0.037	0.098	0
ACSF2	1.511	0.862	0.745	0.627	4.45	0.936	0.639	3.519	1.027	1.027	2.694	0.135	0.397	0.735
ACSF3	0.796	0.526	1.897	0.789	2.616	0.467	0.268	1.504	0.657	1.41	1.893	0.712	0.339	1.571
ACSL1	8.061	3.793	15.276	4.425	60.006	3.405	3.784	29.819	5.208	31.396	23.553	2.166	4.741	47.84
ACSL3	11.951	3.449	96.424	18.66	70.438	2.097	8.08	38.82	4.645	70.484	90.051	4.01	4.361	83.424
ACSL4	2.363	2.133	3.192	1.857	11.795	1.5	1.777	9.779	1.683	3.245	6.269	0.678	1.449	3.835
ACSL5	1.622	2.144	11.595	3.513	9.693	1.272	3.822	12.492	1.316	3.031	6.428	1.879	4.201	4.94
ACSL6	0.422	0.118	0.482	0.216	0.169	0.22	0.129	0.171	0.19	0.104	0.194	0.145	0.051	0.192
ACSM1	1.199	0.396	2.58	2.352	26.901	1.115	5.276	3.595	0.694	2.802	10.099	1.372	0.563	11.797
ACSM2A	0.622	0	0	0	0	0	0	0.019	0.037	0	0	0.136	0	0
ACSM2B	0.849	0	0	0	0	0	0	0.023	0	0	0.025	0.411	0.073	0
ACSM3	4.228	0.976	29.927	5.014	9.665	0.166	1.366	8.549	0.812	17.245	8.456	1.667	2.133	8.598
ACSM4	0.75	0	0	0	0	0.109	0.154	0	0.188	0	0	0.058	0.051	0
ACSM5	0.665	0.084	0.06	0.072	0.127	0.314	0	0.07	0.316	0.089	0.05	0.124	0	0.052
ACSS1	2.581	2.477	12.548	6.108	16.908	1.801	3.56	6.818	2.206	9.703	12.003	1.9	2.343	10.478
ACSS2	1.493	1.655	2.088	1.181	3.872	0.776	1.26	2.838	0.686	2.16	2.442	1.385	1.726	2.995
ACSS3	2.712	1.876	1.338	0.694	3.752	1.068	1.563	6.94	0.758	3.032	4.379	1.06	0.732	3.132
ACTA1	0.257	0.272	0.097	0.059	2.06	0.51	14.137	0.151	0.367	0.241	0.204	0.202	0.298	0
ACTA2	89.576	130.835	161.749	59.172	513.147	43.537	74.796	861.427	45.131	168.002	467.574	35.507	47.481	283.326
ACTB	174.184	298.205	435.535	198.081	748.03	137.836	195.16	761.069	125.438	371.383	531.399	141.978	186.851	440.044
ACTBL2	0.303	0	0	0.031	0.132	0.068	0.032	0.02	0.196	0	0.022	0	0.064	0
ACTC1	2.519	0.578	0.432	0.261	4.197	0.671	1.913	9.053	0.563	0.622	2.508	0.19	1.059	0.875
ACTG1	64.453	74.928	400.769	97.357	373.88	28.961	46.184	246.568	32.144	277.817	225.952	36.522	41.498	378.703
ACTG2	116.545	111.934	125.785	37.29	420.818	40.65	81.843	728.018	51.165	109.776	464.822	38.884	53.279	193.725
ACTL10	0.19	0	0.357	0.13	0.667	0.094	0.088	0.361	0.054	0.425	0.12	0	0.131	0.375
ACTL6A	1.815	0.8	17.339	2.484	14.522	0.9	1.079	10.985	0.977	7.915	15.503	0.105	1.492	10.999
ACTL6B	0.4	0	0	0	0	0.248	0.058	0	0.142	0	0	0.196	0	0
ACTL7A	0.215	0	0	0.061	0	0	0	0	0.076	0	0	0	0.062	0
ACTL7B	0	0	0	0.062	0	0	0	0	0.078	0	0	0.071	0	0
ACTL8	0.33	0	0.039	0	0	0	0.048	0	0.118	0	0	0.162	0.096	0
ACTL9	0.054	0	0	0	0	0.134	0	0	0	0	0	0.212	0.062	0
ACTN1	15.714	17.961	26.861	10.155	49.957	7.488	11.654	79.025	6.96	32.023	51.586	6.945	7.829	29.589
ACTN2	0.509	0.382	0.032	0.039	0.258	0.042	1.422	0.348	0.145	0.079	0.309	0.155	0.216	0.112
ACTN4	11.47	13.699	17.56	6.343	56.765	6.264	7.804	37.108	7.006	23.491	31.525	8.082	7.102	26.303
ACTR10	2.927	0.999	14.78	1.795	14.937	0.39	0.842	11.178	1.211	6.56	11.526	0.37	1.383	10.063
ACTR1A	3.104	4.775	7.543	3.968	13.531	4.377	4.669	10.618	2.972	8.801	9.564	4.442	4.114	8.488
ACTR1B	1.94	1.53	5.745	2.136	8.336	1.434	1.941	5.957	1.843	4.549	7.123	1.513	1.732	5.47
ACTR2	8.851	8.835	23.471	12.862	40.214	8.668	12.526	27.597	7.96	25.272	28.743	4.828	11.046	31.202
ACTR3	7.284	4.384	45.485	10.994	40.621	4.355	6.958	33.993	3.997	22.726	30.731	3.817	5.177	27.278
ACTR3B	0.693	1.329	2.321	0.831	2.22	0.172	0.403	2.158	0.395	1.49	1.841	0.272	0.08	2.143
ACTR3C	1.624	1.431	3.675	1.791	2.469	0.268	0.945	2.101	1.157	2.479	2.96	0.566	0.626	2.899
ACTR5	0.775	1.23	1.813	0.601	2.233	0.231	0.289	2.338	0.265	2.057	2.015	0.446	0.108	1.788
ACTR6	1.59	0.783	8.291	1.53	9.557	0.618	0.943	7.009	0.755	4.75	7.513	0.897	0.901	6.038
ACTR8	1.991	2.184	5.372	1.136	7.831	0.472	0.813	6.622	0.754	6.691	6.447	1.218	0.784	7.575
ACTRT1	0.053	0	0	0	0	0	0	0	0	0	0	0.07	0	0
ACTRT2	0.108	0	0	0	0	0	0	0	0	0	0	0.071	0	0
ACTRT3	0.23	0.355	0.145	0.131	0.337	0	0.134	0.702	0.164	0.179	0.213	0.15	0.753	0.095
ACVR1	1.853	2.025	3.097	1.437	6.048	0.49	1.15	6.185	1.407	3.601	4.816	0.904	0.742	4.213
ACVR1B	1.583	2.051	5.925	2.244	9.674	0.832	1.656	6.322	1.503	5.096	4.461	1.568	1.072	6.404
ACVR1C	0.364	0.28	0.096	0.039	0.102	0.021	0.049	0.099	0.06	0.047	0.208	0.144	0.069	0.035
