Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
FBXO44	0	55	0	46	4	173	17	365	2	175	4	330	7	303	325	6
FBXO45	10	229	4	40	3	1234	92	1135	12	826	22	1588	19	3084	3719	45
FBXO46	3	139	3	43	5	282	64	539	8	530	11	468	6	616	620	13
FBXO47	0	0	0	0	0	1	0	3	0	0	0	9	0	16	23	0
FBXO48	0	21	1	20	0	144	9	108	0	49	2	188	2	178	204	2
FBXO5	1	162	1	38	2	756	35	277	1	298	4	730	12	1463	615	5
FBXO6	0	13	0	14	4	129	4	176	0	88	0	97	1	88	290	2
FBXO7	9	296	3	106	24	3125	165	2809	10	2190	33	2707	27	3326	3734	44
FBXO8	3	355	5	174	1	778	46	881	4	408	8	737	9	1068	745	17
FBXO9	18	556	17	420	22	2442	246	2309	21	1444	51	3206	33	2827	1695	25
FBXW10	1	2	0	3	0	15	3	4	0	1	0	13	0	34	45	0
FBXW11	12	350	2	134	10	1378	231	2739	24	1445	35	3670	19	2507	3852	62
FBXW12	0	0	0	0	0	0	1	1	0	0	0	0	0	12	14	1
FBXW2	15	546	4	222	24	2927	235	2625	18	1592	50	3713	51	3736	4208	106
FBXW4	3	186	3	53	6	494	97	853	9	496	19	1024	26	1100	451	25
FBXW5	2	134	2	35	6	543	27	607	6	461	10	897	8	1283	862	9
FBXW7	15	921	10	295	25	2346	245	2009	23	1024	75	4430	51	4435	2051	67
FBXW8	5	190	7	120	13	766	143	801	15	508	26	1259	23	1431	1015	33
FBXW9	0	13	0	7	0	61	2	68	0	98	0	67	0	134	94	3
FCAMR	0	0	0	0	0	5	0	1	0	0	1	2	1	12	12	0
FCAR	0	7	0	0	0	5	0	2	0	0	0	82	0	7	35	0
FCER1A	0	9	0	0	0	33	0	37	0	6	1	41	0	41	1	0
FCER1G	1	25	1	12	5	730	4	146	0	23	3	576	0	87	517	18
FCER2	0	0	0	0	0	7	0	0	0	2	0	16	0	15	13	0
FCF1	3	198	3	55	16	1316	96	955	7	514	10	1329	19	2103	1699	46
FCGBP	10	359	4	61	4	592	2	171	3	12	62	1953	18	1604	164	5
FCGR1A	0	18	0	14	6	271	2	55	0	11	1	144	0	43	179	1
FCGR1B	0	8	0	7	0	77	0	12	0	2	1	72	0	28	73	2
FCGR2A	2	148	3	39	13	1778	33	483	1	88	5	1697	4	266	1812	31
FCGR2B	0	23	0	7	0	270	2	47	0	2	1	251	0	42	76	2
FCGR3A	5	68	7	51	29	1156	17	295	2	27	12	421	0	77	1348	98
FCGR3B	0	43	5	1	10	333	2	5	0	1	1	687	0	46	70	3
FCGRT	3	98	2	61	8	787	47	1070	3	1026	7	848	4	1000	487	15
FCHO1	0	62	1	9	3	163	21	364	1	201	8	545	6	679	1321	23
FCHO2	9	409	2	225	12	1972	254	3549	20	1919	52	4114	50	6202	2009	42
FCHSD1	7	209	3	207	15	662	121	1440	18	1324	26	1534	40	1747	1064	24
FCHSD2	9	709	3	173	21	2065	192	1327	9	796	50	3485	35	4358	2484	47
FCN1	1	21	0	0	0	61	1	13	0	5	2	396	0	60	36	0
FCN2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
FCN3	0	1	0	0	0	19	0	4	0	2	0	17	0	17	7	0
FCRL1	0	11	0	1	1	23	0	1	0	1	2	27	0	11	16	1
FCRL2	0	3	0	2	0	29	0	2	0	1	0	18	0	16	17	0
FCRL3	0	30	0	4	0	178	0	11	0	0	1	102	0	23	66	1
FCRL4	0	0	0	0	0	22	0	0	0	0	0	4	0	17	18	0
FCRL5	1	71	1	86	5	313	0	30	0	1	5	525	0	41	51	0
FCRL6	0	4	0	1	0	51	2	5	0	2	0	36	1	19	22	0
FCRLA	0	6	0	3	0	15	0	2	0	5	0	21	0	43	89	1
FCRLB	1	53	1	8	3	128	27	221	2	131	2	120	2	629	551	3
FDCSP	0	0	0	0	0	2	0	0	0	0	1	2	0	0	3	0
FDFT1	14	839	9	166	18	3814	128	2552	12	1485	47	5395	39	6211	6628	72
FDPS	10	433	4	87	8	1543	89	1893	8	1325	25	2190	34	4645	2205	32
FDX1	7	91	2	34	2	862	106	1131	5	719	14	1107	14	1196	1012	18
FDX1L	0	22	0	6	2	111	9	146	1	154	5	170	1	214	222	5
FDXACB1	1	33	0	11	0	166	30	344	1	136	1	316	4	464	228	3
FDXR	0	36	2	16	2	129	32	313	3	369	7	290	4	458	893	11
FECH	0	129	1	60	6	1369	77	907	5	481	13	1081	7	1476	1069	17
FEM1A	6	234	3	65	5	703	71	1009	5	1111	15	1119	10	1862	2113	27
FEM1B	10	335	4	137	11	1528	194	1979	6	1165	34	2383	24	3839	2264	23
FEM1C	4	222	5	100	9	930	165	1348	13	874	38	2654	24	3739	3243	65
FEN1	1	88	1	24	6	595	34	235	3	356	9	584	13	2162	3956	48
FER	8	270	3	200	7	912	86	911	9	490	28	2080	19	1904	1296	25
FER1L5	0	1	0	1	1	5	0	9	1	2	0	16	0	30	64	0
FER1L6	4	37	1	89	1	58	112	1338	5	835	1	200	2	54	74	2
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FERMT1	15	821	5	211	23	3986	309	3761	25	2760	55	5193	48	6505	4833	72
FERMT2	6	69	0	56	6	916	72	916	4	1049	7	1871	13	1659	729	36
FERMT3	0	37	0	18	3	333	4	85	2	24	7	412	0	100	255	3
FES	0	26	1	17	2	238	5	302	0	134	5	315	12	467	112	4
FETUB	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FEZ1	0	93	2	4	1	99	0	65	2	55	4	413	2	404	154	5
FEZ2	3	302	2	99	18	1154	162	1117	14	794	32	2549	23	2317	1683	50
FEZF1	0	51	0	13	1	111	0	3	0	0	0	4	0	9	5	0
FEZF2	0	0	0	0	1	0	0	0	0	0	0	1	0	4	6	1
FFAR1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FFAR2	1	6	0	0	0	38	0	3	0	1	1	170	0	10	37	0
FFAR3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0
FGA	0	0	0	0	0	1	0	0	0	0	0	0	0	25	20	0
FGB	0	0	1	0	1	13	0	0	0	0	0	2	0	13	25	0
FGD1	5	58	1	8	1	179	3	44	1	151	3	182	10	437	284	2
FGD2	0	54	1	36	2	495	26	231	0	25	4	446	1	171	223	8
FGD3	1	129	2	45	5	331	18	446	3	226	5	975	11	689	1248	31
FGD4	12	293	8	98	16	1465	117	1403	18	718	24	1843	20	2130	3059	54
FGD5	12	221	3	35	8	605	472	2581	35	688	41	2126	73	4952	589	41
FGD6	5	273	7	256	34	3006	102	838	10	662	40	2525	32	2361	2946	86
FGF1	0	13	0	1	0	30	6	27	1	17	5	155	5	389	56	4
FGF10	0	0	0	0	0	4	0	0	0	0	0	4	0	3	2	0
FGF11	2	58	1	12	2	124	12	50	0	125	1	178	9	595	393	6
FGF12	1	96	1	10	0	99	8	89	0	58	3	231	3	306	256	3
FGF13	3	50	0	10	0	72	4	61	0	22	1	134	1	147	98	3
FGF14	0	1	0	0	0	1	0	3	0	2	0	4	0	45	18	2
FGF16	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0
FGF17	0	0	0	0	0	1	0	1	0	0	0	4	0	8	4	0
FGF18	0	0	0	0	0	7	1	8	0	1	0	3	0	19	18	3
FGF19	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0
FGF2	0	11	1	10	0	220	6	169	1	25	3	264	0	190	223	13
FGF20	0	0	0	0	0	2	0	3	0	0	0	3	0	7	6	0
FGF21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
FGF23	0	0	0	1	0	1	0	5	0	0	0	0	0	8	16	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FGF5	0	0	0	0	0	14	0	0	0	0	0	5	1	13	6	0
FGF6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0
FGF7	1	16	0	2	9	511	6	44	3	20	1	147	2	108	561	56
FGF8	0	0	0	0	0	0	0	1	0	1	0	3	0	7	3	0
FGF9	0	1	1	0	0	8	1	42	0	5	2	29	1	98	63	2
FGFBP1	1	108	3	4	4	1083	0	7	0	3	0	8	0	57	88	1
FGFBP2	0	0	0	0	0	8	0	0	0	2	0	23	0	8	7	0
FGFBP3	1	10	0	1	1	12	11	19	2	33	1	48	3	87	62	6
FGFR1	2	84	1	12	7	481	16	377	2	85	6	1165	10	865	779	28
FGFR1OP	3	210	1	118	4	714	65	565	4	253	25	1358	15	1568	1014	16
FGFR1OP2	6	319	5	122	12	1474	107	1699	12	1047	33	2702	21	3105	2346	26
FGFR2	6	215	2	130	7	1457	92	895	8	397	21	1041	20	2661	1659	27
FGFR3	86	3325	54	1937	82	5703	2763	31089	242	22145	252	15064	302	26677	2962	114
FGFR4	0	2	0	0	0	12	2	16	0	7	0	27	0	21	176	0
FGFRL1	3	124	3	39	4	524	17	351	4	210	10	238	1	247	87	7
FGG	0	1	0	0	0	9	0	0	0	0	0	0	0	7	11	0
FGGY	0	73	2	50	3	249	28	314	1	103	4	525	11	671	364	12
FGL1	0	0	0	0	0	5	0	0	0	0	0	1	0	1	6	0
FGL2	5	136	2	33	16	2601	43	922	1	142	11	1875	5	654	730	25
FGR	0	94	1	47	3	306	19	149	3	56	11	699	3	167	323	11
FH	5	274	2	61	8	1464	51	1582	3	1326	18	2201	16	5094	4053	25
FHAD1	2	52	2	18	1	85	14	74	2	59	5	325	19	629	169	5
FHDC1	2	106	4	44	3	274	59	297	5	458	17	571	16	1302	981	25
FHIT	0	24	0	20	0	39	6	81	3	32	4	208	2	163	32	2
FHL1	0	13	0	7	2	276	8	295	1	89	0	344	0	343	208	9
FHL2	7	148	3	117	19	1055	177	2196	10	1955	17	837	25	3030	3007	33
FHL3	2	22	0	6	3	86	12	132	1	69	5	240	1	226	130	9
FHL5	1	13	0	2	1	56	4	118	0	30	0	99	0	201	85	2
FHOD1	3	80	0	23	1	293	12	162	2	96	11	464	12	599	435	7
FHOD3	2	77	1	41	5	333	23	202	3	255	31	1471	17	994	791	25
FIBCD1	0	0	0	0	0	7	0	7	0	4	1	8	0	33	6	0
FIBIN	1	1	0	1	0	72	3	23	0	7	0	56	0	36	46	10
FIBP	1	187	1	31	5	627	25	777	6	736	8	705	8	1845	945	8
FICD	1	20	1	6	1	91	4	120	1	53	1	133	0	107	193	2
FIG4	3	189	4	87	5	990	152	1755	7	946	28	2233	25	2408	1102	15
FIGF	0	18	0	12	0	15	2	12	0	4	0	9	0	16	46	4
FIGLA	0	0	1	0	0	0	2	8	0	0	0	4	0	13	1	0
FIGN	3	121	1	46	5	345	31	145	6	164	18	805	15	849	1343	20
FIGNL1	7	312	4	98	11	1357	101	651	11	790	31	2239	46	5813	2605	28
FIGNL2	0	0	0	0	0	17	0	8	0	4	0	21	0	23	293	4
FILIP1	0	70	1	11	2	184	13	121	3	46	8	572	5	328	245	16
FILIP1L	8	202	2	36	15	1438	54	628	11	327	33	2933	31	2830	2006	147
FIP1L1	9	597	8	168	22	1617	156	1479	23	894	45	2878	47	3802	2250	37
FIS1	6	71	3	27	3	460	33	700	3	645	16	696	9	1256	767	10
FITM1	0	0	0	0	0	4	0	12	0	5	0	2	0	1	4	0
FITM2	1	12	0	2	0	48	1	40	1	26	2	61	1	32	104	4
FIZ1	0	32	1	7	0	55	15	109	0	72	5	112	6	233	197	1
FJX1	1	10	0	7	0	122	16	141	0	94	1	285	6	496	143	0
FKBP10	1	35	2	16	9	1765	14	334	0	126	2	805	4	1026	436	23
FKBP11	0	54	2	69	4	459	20	224	5	153	6	563	3	276	463	10
FKBP14	3	156	3	81	14	1432	97	886	7	359	18	1686	21	1985	1219	34
FKBP15	6	422	5	172	8	1466	70	1473	13	894	20	2174	25	1945	2137	35
FKBP1A	24	616	12	89	30	3349	468	3568	32	2793	63	4918	61	6318	4884	135
FKBP1B	0	0	0	9	2	102	8	191	0	52	1	46	0	39	70	2
FKBP2	5	213	3	99	14	693	85	1059	13	562	16	904	42	1787	1151	49
FKBP3	4	190	3	119	15	970	124	853	11	676	31	1664	19	2169	3300	60
FKBP4	30	1334	18	263	32	3143	317	4570	16	3119	63	4002	60	6824	23845	261
FKBP5	7	400	2	30	5	921	39	475	6	180	12	1285	6	779	891	68
FKBP6	0	0	0	0	0	1	0	4	0	1	0	0	0	11	8	0
FKBP7	1	58	0	12	3	320	9	249	0	103	5	444	4	784	587	8
FKBP8	4	375	2	117	12	1509	109	2222	21	2369	29	1736	20	2314	3848	53
FKBP9	33	706	15	153	52	5208	628	7557	54	7769	124	6761	109	11741	2513	102
FKBPL	1	25	0	5	0	77	7	129	0	84	2	136	1	194	173	1
FKRP	1	28	4	14	7	179	20	253	2	234	5	317	8	404	225	4
FKTN	4	211	8	25	5	775	102	994	9	592	22	1388	25	1991	2119	25
FLAD1	5	178	2	58	5	474	73	820	5	513	17	964	26	1700	1586	25
FLCN	1	99	3	81	1	733	50	511	2	349	16	1732	11	840	909	17
FLG	1	13	9	0	0	1	0	8	0	3	0	4	1	112	72	1
FLG2	0	0	0	4	0	6	2	1	0	0	0	4	0	55	54	0
FLI1	2	92	0	36	2	696	12	344	5	80	4	1359	10	786	370	11
FLII	14	892	9	392	36	4628	188	3739	18	2739	62	6621	60	9669	8338	110
FLJ22184	1	6	0	0	0	2	0	5	0	3	1	58	8	86	119	24
FLJ23152	0	1	0	1	0	0	0	0	0	1	0	1	0	4	10	0
FLJ25363	0	0	0	0	0	1	0	0	0	1	0	0	0	2	86	1
FLJ27352	0	7	0	0	1	47	6	39	0	25	0	47	0	51	34	1
FLJ42280	0	0	0	0	0	0	0	4	0	1	0	0	0	13	20	0
FLJ43860	0	0	0	0	0	0	0	0	0	0	0	7	0	12	10	0
FLJ44635	0	5	0	2	1	28	1	14	0	2	1	45	1	47	31	0
FLJ45513	0	10	0	13	0	25	11	69	3	16	2	96	1	39	95	7
FLNA	115	2983	29	360	319	26894	1567	20037	172	19470	204	19104	152	11674	9534	551
FLNB	119	2567	73	1605	139	13949	3393	44905	264	20343	327	17047	455	46684	19590	288
FLNC	2	10	0	3	6	189	6	60	0	3	1	261	0	70	183	37
FLOT1	13	795	9	161	27	2616	159	2422	26	1844	29	2609	36	3789	2295	40
FLOT2	25	705	13	252	32	2610	329	5820	30	3252	70	4705	62	6679	5112	67
FLRT1	0	0	0	2	0	10	0	13	0	4	0	13	1	28	26	0
FLRT2	0	33	0	15	2	192	8	196	0	9	7	445	2	461	279	19
FLRT3	8	215	5	69	12	2191	301	4592	18	1312	52	3599	19	2666	3342	28
FLT1	26	1151	6	242	16	4991	330	3591	51	2186	96	15927	148	17521	3107	81
FLT3	0	9	0	5	1	140	1	11	0	5	0	146	0	23	57	0
FLT3LG	1	9	0	7	0	106	2	31	1	18	2	54	0	50	38	0
FLT4	0	63	0	16	3	232	10	160	2	93	13	642	15	943	269	6
FLVCR1	9	232	3	41	5	422	104	930	3	507	12	1393	27	2892	2106	21
FLVCR2	3	25	1	10	5	252	10	114	0	67	10	300	2	283	989	12
FLYWCH1	3	132	3	49	2	286	37	550	5	312	6	427	3	515	691	17
FLYWCH2	0	33	0	9	1	140	10	199	1	164	0	177	1	225	498	2
FMN1	3	113	3	20	11	887	50	291	5	57	7	634	4	130	506	18
FMN2	0	0	0	0	0	14	0	3	0	0	0	9	0	23	76	0
FMNL1	1	116	1	29	8	741	7	166	2	197	8	1172	2	187	469	10
FMNL2	7	470	9	189	18	1904	25	520	10	438	41	1978	8	907	2845	60
FMNL3	11	229	5	105	22	1735	77	682	17	276	36	3304	44	2285	2182	71
FMO1	0	4	0	3	0	6	0	5	0	0	0	11	0	42	19	4
FMO2	0	4	0	0	0	135	1	3	0	1	0	17	0	29	108	11
FMO3	2	43	0	0	2	309	3	30	0	1	0	42	0	12	58	3
FMO4	0	85	2	37	1	225	25	267	3	131	4	389	2	306	112	2
FMO5	2	48	1	38	0	219	39	505	0	191	2	401	6	453	373	8
FMOD	1	64	2	6	6	506	16	382	1	67	4	610	3	368	232	23
FMR1	25	838	9	248	47	5059	354	2668	18	2013	78	5256	73	7082	4973	113
FMR1NB	0	0	0	1	0	5	0	1	0	0	0	3	0	6	2	0
FN1	54	954	42	137	177	16861	675	8429	98	5028	339	74211	247	26601	17492	2234
FN3K	1	22	0	7	1	48	13	78	1	51	3	178	4	206	161	4
FN3KRP	4	42	4	25	2	442	41	361	3	299	9	658	30	1134	830	8
FNBP1	7	410	10	107	17	1834	83	752	13	477	20	2866	17	1502	1840	61
FNBP1L	25	1206	15	469	37	3433	781	6514	63	3137	148	8630	171	14444	11774	231
FNBP4	33	1101	27	818	52	4028	571	3011	49	1384	137	5410	111	4740	3164	102
FNDC1	0	1	0	0	7	254	0	23	0	7	0	61	0	32	71	61
FNDC3A	15	642	14	474	26	4611	672	7997	51	3234	91	10506	87	13953	6413	109
FNDC3B	56	1963	42	952	75	10180	1049	10473	126	8970	221	16745	237	22444	12988	241
FNDC4	0	13	0	0	0	63	1	25	0	30	1	66	2	75	127	1
FNDC5	1	3	0	1	0	38	0	10	0	15	1	55	0	45	31	1
FNDC7	0	0	0	0	0	1	1	0	0	0	0	0	0	14	21	0
FNDC8	0	1	0	0	0	1	0	1	0	3	0	1	0	5	8	0
FNDC9	0	0	0	0	0	5	4	1	0	0	0	9	0	6	10	0
FNIP1	13	338	14	183	17	1732	224	2211	20	1416	60	4962	36	3960	5067	107
FNIP2	6	130	4	64	11	1009	61	703	9	445	20	2608	26	3061	2149	30
FNTA	8	445	4	186	12	2546	109	1566	12	868	23	3234	25	4807	6529	76
FNTB	0	16	0	6	0	51	0	21	1	19	1	64	0	74	49	0
FOCAD	11	301	1	148	6	1190	150	2249	5	630	16	2223	13	2417	2464	33
FOLH1	1	23	2	17	0	272	15	279	1	211	3	404	6	999	209	3
FOLH1B	0	1	0	0	0	2	2	16	0	5	0	6	0	30	20	0
FOLR1	0	0	0	0	2	66	0	2	0	0	1	1	0	12	6	0
FOLR2	0	4	1	7	0	30	0	99	0	25	3	64	0	52	170	2
FOLR3	0	0	0	0	0	3	0	3	0	0	0	1	0	1	0	0
FOLR4	0	0	0	0	0	1	0	0	0	0	0	0	0	3	4	0
FOPNL	7	184	1	56	6	1206	65	1266	5	690	11	1060	10	2234	1384	25
FOS	23	1603	29	106	24	4128	307	4404	11	1453	38	7616	225	18249	9677	172
FOSB	6	125	15	7	3	415	35	175	0	133	10	909	130	3138	1097	60
FOSL1	3	106	3	10	1	130	15	65	2	74	3	236	12	502	580	13
FOSL2	31	1894	18	496	28	2079	871	7240	75	6145	106	5458	115	9181	20086	323
FOXA1	20	770	18	251	30	4951	359	5272	29	4604	87	4406	83	8905	1964	18
FOXA2	0	10	0	0	0	1	1	3	0	0	0	14	0	13	43	0
FOXA3	0	2	0	1	0	1	0	0	0	0	0	1	0	1	20	0
FOXB1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
FOXB2	1	1	0	1	1	0	0	0	0	0	2	0	3	0	2	0
FOXC1	4	242	4	19	7	427	230	2008	37	2340	31	896	47	2208	2541	83
FOXC2	0	1	0	0	0	0	0	0	0	0	0	13	0	6	5	0
FOXD1	0	0	0	0	0	63	0	0	0	0	0	8	0	5	3	0
FOXD2	0	0	0	4	0	7	1	33	0	72	0	24	1	37	19	0
FOXD3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0
FOXD4	0	7	0	8	0	9	2	42	1	12	1	44	2	39	13	0
FOXD4L1	0	6	0	1	0	10	0	14	0	2	0	34	0	14	2	0
FOXD4L2	0	4	0	4	0	18	8	11	0	6	1	38	1	36	34	0
FOXD4L3	0	2	0	3	0	0	0	8	1	1	0	26	0	7	3	0
FOXD4L4	0	3	0	7	0	19	3	9	2	8	0	37	0	49	37	0
FOXD4L5	0	4	0	2	0	19	1	34	0	10	0	80	0	112	94	1
FOXD4L6	0	3	0	3	0	15	8	15	1	16	3	89	0	42	22	0
FOXE1	0	0	0	0	0	3	0	0	0	0	0	2	0	5	2	0
FOXE3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
FOXF1	1	26	0	13	3	175	13	147	1	26	1	294	5	342	268	20
FOXF2	1	35	3	15	2	261	34	430	1	367	3	167	8	572	349	12
FOXG1	0	0	0	0	0	0	0	0	0	0	0	1	1	228	3	0
FOXH1	0	0	0	1	0	18	6	54	0	49	2	12	2	56	12	2
FOXI1	0	0	0	0	0	1	0	0	0	0	0	2	0	10	17	0
FOXI2	0	4	0	4	0	5	6	7	0	2	1	13	9	59	26	3
FOXI3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0
FOXJ1	1	2	0	1	0	2	2	130	0	0	0	19	0	15	1858	20
FOXJ2	8	221	4	47	11	606	109	648	8	397	19	1172	19	1156	1411	39
FOXJ3	14	634	10	208	24	2374	310	2450	21	1339	74	4301	82	5913	3717	112
FOXK1	13	657	22	230	37	2612	421	3325	45	2247	96	5291	119	8889	3679	65
FOXK2	12	306	13	167	14	1287	175	2052	22	1589	41	2196	31	2862	3207	48
FOXL1	0	30	0	0	1	50	5	69	1	33	4	146	5	303	100	4
FOXL2	0	0	1	1	0	79	0	0	0	0	0	6	0	5	147	2
FOXM1	11	319	7	43	10	991	20	171	7	395	7	701	32	2458	2405	39
FOXN1	5	52	1	1	0	11	2	21	1	1	2	57	1	32	349	28
FOXN2	9	162	1	63	8	1329	83	1228	9	858	16	1988	22	2477	2062	29
FOXN3	19	927	10	381	53	5318	365	2882	38	1436	78	5254	58	5957	5821	146
FOXN4	0	1	0	0	0	2	0	0	0	0	0	4	0	13	6	0
FOXO1	10	252	6	95	10	1062	385	1980	15	881	38	4157	55	5963	5614	87
FOXO3	20	1046	17	312	40	4338	245	2829	32	1191	87	4734	40	4797	7319	152
FOXO4	2	108	1	25	3	391	75	557	6	598	14	481	13	550	1032	30
FOXO6	0	4	0	2	0	5	3	13	0	1	0	23	0	34	264	4
FOXP1	35	964	21	325	27	2621	575	4257	46	3438	113	8139	75	7377	1720	105
FOXP2	0	57	4	116	2	418	6	46	1	15	3	399	3	614	174	10
FOXP3	0	29	0	2	4	125	1	8	0	1	1	147	0	16	38	7
FOXP4	4	131	4	38	7	268	74	261	7	225	25	606	12	460	386	21
FOXQ1	15	791	20	170	16	1437	429	4677	36	2924	43	2391	58	5381	3339	32
FOXR1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0
FOXR2	0	0	0	0	0	0	0	0	0	0	0	2	0	9	7	0
FOXRED1	0	24	0	30	3	247	15	243	3	156	4	419	8	782	690	6
FOXRED2	2	86	1	17	9	342	4	139	0	91	10	509	3	748	1338	14
FOXS1	0	2	0	2	0	20	3	36	0	26	0	53	1	94	34	0
FPGS	3	52	0	45	3	411	34	393	9	355	7	469	6	510	664	18
FPGT	2	15	2	5	1	154	5	222	0	163	1	146	1	327	211	1
FPGT-TNNI3K	0	44	0	8	0	66	17	185	2	68	1	210	1	157	123	0
FPR1	0	10	0	0	0	46	0	7	0	6	0	221	0	19	46	1
FPR2	0	2	0	0	2	43	0	0	0	0	0	126	0	4	26	0
FPR3	2	35	1	19	8	748	3	163	0	23	8	709	0	151	426	12
FRA10AC1	5	250	11	45	13	509	135	512	16	363	24	1648	37	1555	854	43
FRAS1	2	83	0	173	5	694	139	2017	10	140	57	8228	54	5417	1215	8
FRAT1	0	15	1	3	2	72	15	194	6	158	0	153	7	208	75	1
FRAT2	2	131	2	12	1	297	50	825	3	599	10	498	7	1156	652	11
FREM1	1	31	0	42	0	112	66	466	4	134	11	530	4	798	164	5
FREM2	3	2	0	4	1	7	48	721	0	4	6	1213	11	3011	921	5
FREM3	0	1	0	0	0	12	0	3	0	0	0	5	0	30	22	0
FRG1	0	280	4	95	7	512	50	826	4	521	19	1990	14	2235	1465	46
FRG2	0	0	0	0	0	0	0	0	0	4	0	0	0	9	14	0
FRG2B	0	1	0	0	0	0	0	0	0	0	0	0	0	12	14	0
FRG2C	0	0	0	3	0	0	2	3	0	0	0	5	0	31	25	0
FRK	6	444	4	98	10	1175	163	1610	15	335	41	3138	19	2360	2169	32
FRMD1	0	0	0	0	0	0	0	3	0	0	0	1	0	3	5	0
FRMD3	3	71	0	21	1	210	56	752	5	166	13	595	20	2317	383	6
FRMD4A	4	160	1	161	7	485	97	912	14	280	11	1238	24	1098	1854	47
FRMD4B	6	493	5	80	8	1140	70	927	4	292	7	1502	13	1000	1238	23
FRMD5	0	2	0	0	1	9	0	10	0	15	0	42	0	35	117	2
FRMD6	16	1069	11	229	21	3975	313	4548	42	4753	53	4986	65	11228	2924	76
FRMD7	0	3	0	1	0	7	0	0	0	1	0	2	0	22	12	0
FRMD8	5	113	4	86	8	661	70	1001	6	709	9	896	20	1330	1196	24
FRMPD1	0	0	0	0	0	6	0	0	0	0	0	0	0	16	24	0
FRMPD2	0	4	0	2	1	10	1	32	0	10	4	143	2	180	67	0
FRMPD3	0	6	0	4	0	29	1	4	0	10	1	34	0	39	86	4
FRMPD4	0	0	0	0	1	1	26	193	4	433	6	412	6	910	27	1
FRRS1	7	364	1	140	3	406	57	951	2	280	11	886	4	1001	3969	34
FRRS1L	0	0	0	0	0	2	0	2	0	5	0	11	0	15	13	0
FRS2	10	358	2	137	13	2511	187	2061	14	1374	44	3029	36	4594	3827	56
FRS3	1	14	0	3	1	42	7	83	1	48	4	79	2	89	35	0
FRY	38	2847	13	1346	39	2851	721	6816	73	3344	156	10041	326	25192	5673	124
FRYL	36	1660	14	834	34	5769	617	6381	58	3171	125	12030	123	13196	6326	90
FRZB	2	69	1	8	3	287	18	378	0	108	6	975	5	1049	391	12
FSBP	0	0	0	0	1	12	6	30	0	13	0	44	0	75	35	1
FSCB	0	0	0	2	0	14	0	0	0	5	0	20	1	32	20	0
FSCN1	19	843	13	79	25	1524	201	1963	21	3297	39	2904	63	6934	4823	96
FSCN2	0	4	0	2	0	19	2	23	1	33	0	37	0	25	12	0
FSCN3	0	0	0	0	0	1	0	2	0	6	0	12	1	12	13	0
FSD1	0	2	0	0	0	5	0	4	0	2	0	36	0	16	317	4
FSD1L	1	16	0	3	1	85	4	34	0	8	0	238	2	94	125	1
FSD2	0	0	0	0	0	1	1	2	0	1	0	1	0	18	12	0
FSHB	0	1	0	0	0	0	0	0	0	0	0	0	0	3	7	0
FSHR	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0
FSIP1	0	4	0	7	0	37	2	42	0	29	0	112	1	118	129	3
FSIP2	13	531	4	281	4	249	546	3768	23	1119	34	4462	87	7936	422	12
FST	2	7	1	4	0	171	50	665	5	253	16	535	7	491	574	20
